index,age,tagged,visited,relationship,rank,conscious,mental_status,breathing,hrpmin,intent,directness_of_causality,unvisited_count,injured_count,others_tagged_or_uninjured,questioning,assessing,treating,tagging,leaving,All Predictors.mission(8)-denial(3).time,All Predictors.mission(8)-denial(3).resources,All Predictors.mission(8)-denial(3).risk_reward_ratio,All Predictors.mission(8)-denial(3).system,HRA Strategy.time-resources.take-the-best,HRA Strategy.time-resources.exhaustive,HRA Strategy.time-resources.tallying,HRA Strategy.time-resources.satisfactory,HRA Strategy.time-resources.one-bounce,HRA Strategy.time-risk_reward_ratio.take-the-best,HRA Strategy.time-risk_reward_ratio.exhaustive,HRA Strategy.time-risk_reward_ratio.tallying,HRA Strategy.time-risk_reward_ratio.satisfactory,HRA Strategy.time-risk_reward_ratio.one-bounce,HRA Strategy.time-system.take-the-best,HRA Strategy.time-system.exhaustive,HRA Strategy.time-system.tallying,HRA Strategy.time-system.satisfactory,HRA Strategy.time-system.one-bounce,HRA Strategy.resources-risk_reward_ratio.take-the-best,HRA Strategy.resources-risk_reward_ratio.exhaustive,HRA Strategy.resources-risk_reward_ratio.tallying,HRA Strategy.resources-risk_reward_ratio.satisfactory,HRA Strategy.resources-risk_reward_ratio.one-bounce,HRA Strategy.resources-system.take-the-best,HRA Strategy.resources-system.exhaustive,HRA Strategy.resources-system.tallying,HRA Strategy.resources-system.satisfactory,HRA Strategy.resources-system.one-bounce,HRA Strategy.risk_reward_ratio-system.take-the-best,HRA Strategy.risk_reward_ratio-system.exhaustive,HRA Strategy.risk_reward_ratio-system.tallying,HRA Strategy.risk_reward_ratio-system.satisfactory,HRA Strategy.risk_reward_ratio-system.one-bounce,HRA Strategy.time-resources-risk_reward_ratio.take-the-best,HRA Strategy.time-resources-risk_reward_ratio.exhaustive,HRA Strategy.time-resources-risk_reward_ratio.tallying,HRA Strategy.time-resources-risk_reward_ratio.satisfactory,HRA Strategy.time-resources-risk_reward_ratio.one-bounce,HRA Strategy.time-resources-system.take-the-best,HRA Strategy.time-resources-system.exhaustive,HRA Strategy.time-resources-system.tallying,HRA Strategy.time-resources-system.satisfactory,HRA Strategy.time-resources-system.one-bounce,HRA Strategy.time-risk_reward_ratio-system.take-the-best,HRA Strategy.time-risk_reward_ratio-system.exhaustive,HRA Strategy.time-risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio-system.satisfactory,HRA Strategy.time-risk_reward_ratio-system.one-bounce,HRA Strategy.resources-risk_reward_ratio-system.take-the-best,HRA Strategy.resources-risk_reward_ratio-system.exhaustive,HRA Strategy.resources-risk_reward_ratio-system.tallying,HRA Strategy.resources-risk_reward_ratio-system.satisfactory,HRA Strategy.resources-risk_reward_ratio-system.one-bounce,HRA Strategy.time-resources-risk_reward_ratio-system.take-the-best,HRA Strategy.time-resources-risk_reward_ratio-system.exhaustive,HRA Strategy.time-resources-risk_reward_ratio-system.tallying,HRA Strategy.time-resources-risk_reward_ratio-system.satisfactory,HRA Strategy.time-resources-risk_reward_ratio-system.one-bounce,Take-The-Best Priority,Exhaustive Priority,Tallying Priority,Satisfactory Priority,One-Bounce Priority,pDeath,pPain,pBrainInjury,pAirwayBlocked,pInternalBleeding,pExternalBleeding,SEVERITY,SUPPLIES_REMAINING,AVERAGE_TIME_USED,DAMAGE_PER_SECOND,MEDSIM_P_DEATH,MEDSIM_P_DEATH_ONE_MIN_LATER,SEVERITY_CHANGE,SUPPLIES_USED,ACTION_TARGET_SEVERITY,ACTION_TARGET_SEVERITY_CHANGE,SEVEREST_SEVERITY,SEVEREST_SEVERITY_CHANGE,NONDETERMINISM.outcome_0.PROBABILITY,NONDETERMINISM.outcome_0.SEVERITY,NONDETERMINISM.outcome_0.AVERAGE_TIME_USED,NONDETERMINISM.outcome_0.JUSTIFICATION.severity,NONDETERMINISM.outcome_0.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_0.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_0.MORBIDITY.HIGHEST_P_DEATH,hash,actions,action-string,pre-action-string,action-len,action-hash,pre-action-hash,state-hash,action,feedback.count,feedback.MoralDesert.min,feedback.MoralDesert.max,feedback.MoralDesert.average,feedback.MoralDesert.variance,feedback.MoralDesert-discounted,feedback_delta.MoralDesert.min,feedback_delta.MoralDesert.max,feedback_delta.MoralDesert.average,feedback_delta.MoralDesert.variance,feedback_delta.count,hint.MoralDesert,treatment,NONDETERMINISM.outcome_6.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_2.SEVERITY,NONDETERMINISM.outcome_4.AVERAGE_TIME_USED,NONDETERMINISM.outcome_4.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_2.PROBABILITY,NONDETERMINISM.outcome_2.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_6.AVERAGE_TIME_USED,NONDETERMINISM.outcome_6.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_6.SEVERITY,NONDETERMINISM.outcome_4.JUSTIFICATION.severity,NONDETERMINISM.outcome_2.JUSTIFICATION.severity,NONDETERMINISM.outcome_2.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_4.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_4.SEVERITY,NONDETERMINISM.outcome_6.PROBABILITY,NONDETERMINISM.outcome_4.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_6.JUSTIFICATION.severity,NONDETERMINISM.outcome_2.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_4.PROBABILITY,NONDETERMINISM.outcome_2.AVERAGE_TIME_USED,NONDETERMINISM.outcome_6.JUSTIFICATION.morbidity
1,None,False,False,neutral,None,None,None,None,None,None,None,1,0,1,False,True,False,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,True,True,True,False,False,0.003114414593219178,0.0,0.0028248566919229132,0.0012909283579973102,0.0,0.0,0.0,12.0,45.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,8365162545617645640,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}]","CHECK_ALL_VITALS,Patient B,,,",,1,5259494033217471158,0,947577179818519711,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}",24604,0.0,1.0,0.5040483004992615,0.038403500014223206,0.08369302965003059,0.0,0.0,0.009264009343850355,6.617095045999971e-05,97678,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,None,False,False,neutral,None,None,None,None,None,None,None,0,1,1,True,False,False,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,0.003114414593219178,0.0,0.002824856691922913,0.00129092835799731,0.0,0.0,90.0,12.0,45.0,2.0,0.0,0.0,2.0,-0.0,0.0,0.0,90.0,2.0,1.0,90.0,45.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,-8792447956078194206,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,","CHECK_ALL_VITALS,Patient B,,,",2,-1418341146957364107,5259494033217471158,3369245158299694817,"{'name': 'SITREP', 'params': {'casualty': 'Patient A'}}",23270,0.0,1.0,0.5019425707370884,0.039941846541018906,0.09779206780233496,0.0,0.0,0.0038995799857430846,0.0015990627443496913,19520,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,None,False,False,neutral,None,None,UNRESPONSIVE,None,None,None,None,0,1,1,False,True,False,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,False,False,False,True,True,0.0031144145932191776,0.0,0.002824856691922912,0.0012909283579973102,0.0,0.0,90.0,12.0,45.0,2.0,0.0,0.0,2.0,-0.0,0.0,0.0,90.0,2.0,1.0,90.0,45.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,7411006139194699538,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,",3,579940787444392236,-1418341146957364107,-1819566089285356561,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}",27768,0.0,1.0,0.5009185339721323,0.039523496446641875,0.09718726701289968,0.0,0.0,0.002604354937904174,0.0011586405718130577,18386,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,None,False,True,neutral,None,False,UNRESPONSIVE,NONE,NONE,None,None,0,1,1,False,False,True,False,False,seconds,few,low,equal,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,False,False,False,True,True,0.7493102212297107,0.0,0.23034760169446566,0.08846428485882069,0.0,0.0,140.0,11.0,35.0,4.0,0.0,0.0,4.0,1.0,70.0,2.0,70.0,2.0,1.0,140.0,35.0,Damage Per Second 4.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,-5858667491615410557,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,",4,2543550063459625452,579940787444392236,-6000946779971186392,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}",26826,0.0,1.0,0.49444802367362023,0.038018495889100605,0.09959211881986743,0.0,0.0,-0.001193818102591504,0.00017528371960324335,27454,0.5,Nasopharyngeal airway,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,None,False,False,neutral,None,None,None,None,None,None,None,1,1,1,False,False,True,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,0.8856413940203339,0.0,0.12206758011421151,0.055111281958569985,0.0,1.0,119.0625,11.0,41.25,2.5,0.0,0.0,2.8863636363636362,1.0,36.5625,0.8863636363636364,82.5,2.0,0.2727272727272727,125.0,50.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,2527338030788551668,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'right shoulder'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,",5,3328167432844950850,2543550063459625452,-8317684990675460751,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'right shoulder'}}",10000,0.0,1.0,0.4810686483124729,0.03707482787182338,0.10062172303569926,0.0,0.0,-0.01359036530746216,-0.001246673648731593,81046,0.5,Pressure bandage,0.0,75.0,42.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.45454545454545453,0.0,42.5,0.0,106.25,Damage Per Second 4.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,170.0,0.18181818181818182,0.0,Damage Per Second 2.0,0.0,0.09090909090909091,30.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %
6,None,False,False,neutral,None,None,None,None,None,None,None,1,1,1,True,False,False,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,0.12640208955071544,0.0,0.12264830482939344,0.055373392791152935,0.0,0.0,4635.0,12.0,45.0,103.0,0.875,1.0,103.0,-0.0,2272.5,50.5,2362.5,52.5,1.0,4635.0,45.0,Damage Per Second 103.0,probability burn death: 0.0 % probability bleed out: 100.0 % probability asphixia: 0.0 % probability death: 100.0 %,0.875,0.75,-8252050986399449579,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'right shoulder'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,",6,-25829756913912401,3328167432844950850,-185208124198043135,"{'name': 'SITREP', 'params': {'casualty': 'Patient A'}}",28346,0.0,1.0,0.4980098103901708,0.03854760212677704,0.10242410633730528,0.0,0.0,0.005646591931969758,0.0009270263519548655,103312,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,None,False,True,neutral,None,True,SHOCK,FAST,None,None,None,1,1,1,False,False,True,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,0.35187990943701475,0.9041684301574029,0.5761284144164125,0.0,0.0,0.0,2060.0,11.0,20.0,103.0,0.18999999999999995,1.0,103.0,1.0,1010.0,50.5,1050.0,52.5,1.0,2060.0,20.0,Damage Per Second 103.0,probability burn death: 0.0 % probability bleed out: 20.0 % probability asphixia: 0.0 % probability death: 19.999999999999996 %,0.18999999999999995,0.09999999999999998,1928046408210974844,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'right shoulder'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'unspecified', 'treatment': 'Pain Medications'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,;APPLY_TREATMENT,Patient A,Pain Medications,unspecified,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,",7,-7974014139923906989,-25829756913912401,-4346640096192259495,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'unspecified', 'treatment': 'Pain Medications'}}",1254,0.0,1.0,0.5722588228920902,0.04626158626357914,0.11535448455668726,0.0,0.0,0.008336452702620067,0.0024731218922580955,122,0.5,Pain Medications,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,None,False,False,neutral,None,None,None,None,None,None,None,1,0,1,False,True,False,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,False,False,False,True,True,0.8856413940203339,0.0,0.12206758011421157,0.05511128195856998,0.0,1.0,90.0,12.0,45.0,2.0,0.0,0.0,2.0,-0.0,90.0,2.0,90.0,2.0,1.0,90.0,45.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,8365162545617645640,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'right shoulder'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'unspecified', 'treatment': 'Pain Medications'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,;APPLY_TREATMENT,Patient A,Pain Medications,unspecified,;CHECK_ALL_VITALS,Patient A,,,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,;APPLY_TREATMENT,Patient A,Pain Medications,unspecified,",8,-5093063593323961788,-7974014139923906989,947577179818519711,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}",34568,0.0,1.0,0.4827283491774616,0.039146685259172524,0.08904754986336554,0.0,0.0,-0.009651031221837414,0.0015319853679872722,98448,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,None,False,True,neutral,None,True,UNRESPONSIVE,NORMAL,FAST,None,None,1,0,1,False,False,True,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,0.9272674791625904,0.6583643334242999,0.12048593396422183,0.0032566709726552607,0.0,1.0,20.416666666666668,11.0,40.833333333333336,0.0,0.0,0.0,0.5,1.0,20.416666666666668,0.5,20.416666666666668,0.5,0.6875,15.0,30.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,-7178901539466073037,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'right shoulder'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'unspecified', 'treatment': 'Pain Medications'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'left chest'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,;APPLY_TREATMENT,Patient A,Pain Medications,unspecified,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Pressure bandage,left chest,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,;APPLY_TREATMENT,Patient A,Pain Medications,unspecified,;CHECK_ALL_VITALS,Patient A,,,",9,6098046022229905499,-5093063593323961788,-5020108043380810261,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'left chest'}}",2786,0.0,1.0,0.48777976518412014,0.04314053647770143,0.11198049346240227,0.0,0.0,-0.00027441930814620097,0.0009658306674820288,64,0.5,Pressure bandage,None,25.0,42.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.1875,0.0,None,None,None,Damage Per Second 0.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,21.25,None,0.0,None,0.0,0.125,50.0,None
10,None,False,False,neutral,None,None,None,None,None,intend major harm,direct,1,0,1,True,False,False,False,False,seconds,few,low,equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,True,0.0031144145932191776,0.0,0.002824856691922912,0.0012909283579973104,0.0,0.0,0.0,12.0,45.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,-499443522738221838,"[{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'left face', 'treatment': 'Nasopharyngeal airway'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'right shoulder'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'unspecified', 'treatment': 'Pain Medications'}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}, {'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'treatment': 'Pressure bandage', 'location': 'left chest'}}, {'name': 'SITREP', 'params': {'casualty': 'Patient A'}}]","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,;APPLY_TREATMENT,Patient A,Pain Medications,unspecified,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Pressure bandage,left chest,;SITREP,Patient A,,,","CHECK_ALL_VITALS,Patient B,,,;SITREP,Patient A,,,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Nasopharyngeal airway,left face,;APPLY_TREATMENT,Patient A,Pressure bandage,right shoulder,;SITREP,Patient A,,,;APPLY_TREATMENT,Patient A,Pain Medications,unspecified,;CHECK_ALL_VITALS,Patient A,,,;APPLY_TREATMENT,Patient A,Pressure bandage,left chest,",10,8718110870519476105,6098046022229905499,-5104236400574423152,"{'name': 'SITREP', 'params': {'casualty': 'Patient A'}}",38914,0.0,1.0,0.48911187527302813,0.0396610778471877,0.12073851271211519,0.0,0.0,-0.0008635338956772265,0.000190892249728479,958,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
