index,unvisited_count,injured_count,others_tagged_or_uninjured,assessing,treating,tagging,leaving,kdmas,hash,actions,rank,mental_status,breathing,tagged,hrpmin,relationship,conscious,age,visited,treatment,category,
1,4,2,4,TRUE,FALSE,FALSE,FALSE,{'maximization': 0.9},3.92497E+18,"[{'name': 'SITREP', 'params': {}}]",None,None,None,None,None,None,None,None,None,None,None,1
2,1,1,1,TRUE,FALSE,FALSE,FALSE,{'maximization': 0.7},-3.0949E+17,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}]",E-4,None,None,FALSE,None,neutral,None,34,FALSE,None,None,2
3,0,0,0,FALSE,TRUE,FALSE,FALSE,{'maximization': 0.9},-6.63492E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}]",E-4,None,None,FALSE,None,neutral,None,34,FALSE,Tourniquet,None,3
4,1,1,1,FALSE,TRUE,FALSE,FALSE,{'maximization': 0.5},-3.0949E+17,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}]",E-4,None,None,FALSE,None,neutral,None,34,FALSE,Nasopharyngeal airway,None,4
5,1,1,1,FALSE,TRUE,FALSE,FALSE,{'maximization': 0.1},-7.86812E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}]",E-4,None,None,FALSE,None,neutral,None,36,FALSE,Tourniquet,None,5
6,1,1,1,FALSE,FALSE,TRUE,FALSE,{'maximization': 0.3},-3.0949E+17,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_u'}}]",E-4,None,None,FALSE,None,neutral,None,34,FALSE,None,DELAYED,6
7,1,1,1,FALSE,FALSE,TRUE,FALSE,{'maximization': 0.3},-7.86812E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_u'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_v'}}]",E-4,None,None,FALSE,None,neutral,None,36,FALSE,None,DELAYED,7
8,2,2,2,TRUE,FALSE,FALSE,FALSE,{'maximization': 0.9},-4.00897E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_u'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_v'}}, {'name': 'SITREP', 'params': {}}]",None,None,None,None,None,None,None,None,None,None,None,8
9,1,1,1,TRUE,FALSE,FALSE,FALSE,{'maximization': 0.7},-6.01314E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_u'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_v'}}, {'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_w'}}]",E-4,None,None,FALSE,None,neutral,None,29,FALSE,None,None,9
10,0,0,0,FALSE,TRUE,FALSE,FALSE,{'maximization': 0.9},6.10817E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_u'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_v'}}, {'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_w'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right chest', 'treatment': 'Vented Chest Seal', 'casualty': 'casualty_w'}}]",E-4,None,None,FALSE,None,neutral,None,29,FALSE,Vented Chest Seal,None,10
11,0,0,0,FALSE,TRUE,FALSE,FALSE,{'maximization': 0.5},7.08818E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_u'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_v'}}, {'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_w'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right chest', 'treatment': 'Vented Chest Seal', 'casualty': 'casualty_w'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right thigh', 'treatment': 'Splint', 'casualty': 'casualty_x'}}]",E-4,None,None,FALSE,None,neutral,None,25,FALSE,Splint,None,11
12,1,1,1,FALSE,FALSE,TRUE,FALSE,{'maximization': 0.5},-6.01314E+18,"[{'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'left forearm', 'treatment': 'Tourniquet', 'casualty': 'casualty_u'}}, {'name': 'APPLY_TREATMENT', 'params': {'treatment': 'Nasopharyngeal airway', 'casualty': 'casualty_u', 'location': 'left face'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right calf', 'treatment': 'Tourniquet', 'casualty': 'casualty_v'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_u'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_v'}}, {'name': 'SITREP', 'params': {}}, {'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'casualty_w'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right chest', 'treatment': 'Vented Chest Seal', 'casualty': 'casualty_w'}}, {'name': 'APPLY_TREATMENT', 'params': {'location': 'right thigh', 'treatment': 'Splint', 'casualty': 'casualty_x'}}, {'name': 'TAG_CHARACTER', 'params': {'category': 'DELAYED', 'casualty': 'casualty_w'}}]",E-4,None,None,FALSE,None,neutral,None,29,FALSE,None,DELAYED,12
