Index,Actual Outcome,Predicted,Sim#1,Sim#2,Sim#3,Sim#4,Sim#5,Similar_Index,Distance,Diff#1,Diff#2,Diff#3,Diff#4,Diff#5
[0],15,[12 12 14 15 10],Sample: 1 / Pred: 12,Sample: 9 / Pred: 12,Sample: 14 / Pred: 14,Sample: 8 / Pred: 15,Sample: 80 / Pred: 10,"[1, 9, 14, 8, 80]","[1.41, 5.2, 5.57, 6.0, 6.08]","Risktol: 7.0/8.0, Timeurg: 3.0/2.0","Denial: 3.0/2.0, Risktol: 3.0/8.0, Timeurg: 3.0/2.0","Mission: 0.0/2.0, Denial: 3.0/2.0, Risktol: 7.0/8.0, Timeurg: 7.0/2.0",Risktol: 2.0/8.0,"Type: 1.0/2.0, Prompt: 6.0/0.0"
[1],12,[15 12 14 15 12],Sample: 0 / Pred: 15,Sample: 9 / Pred: 12,Sample: 14 / Pred: 14,Sample: 8 / Pred: 15,Sample: 13 / Pred: 12,"[0, 9, 14, 8, 13]","[1.41, 4.12, 4.58, 5.1, 5.48]","Risktol: 8.0/7.0, Timeurg: 2.0/3.0","Denial: 3.0/2.0, Risktol: 3.0/7.0","Mission: 0.0/2.0, Denial: 3.0/2.0, Timeurg: 7.0/3.0","Risktol: 2.0/7.0, Timeurg: 2.0/3.0","Mission: 0.0/2.0, Risktol: 2.0/7.0, Timeurg: 2.0/3.0"
[2],14,[12 15 13 15 13],Sample: 29 / Pred: 12,Sample: 28 / Pred: 15,Sample: 3 / Pred: 13,Sample: 4 / Pred: 15,Sample: 15 / Pred: 13,"[29, 28, 3, 4, 15]","[4.25, 5.01, 6.08, 6.08, 6.08]","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Denial: 4.0/2.0, Risktol: 4.0/3.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 6.0/8.0, Risktol: 6.0/3.0","Denial: 8.0/2.0, Risktol: 2.0/3.0","Mission: 2.0/8.0, Risktol: 2.0/3.0","Denial: 8.0/2.0, Risktol: 2.0/3.0"
[3],13,[13 12 12 13 14],Sample: 15 / Pred: 13,Sample: 25 / Pred: 12,Sample: 29 / Pred: 12,Sample: 7 / Pred: 13,Sample: 2 / Pred: 14,"[15, 25, 29, 7, 2]","[0.0, 5.66, 5.75, 6.0, 6.08]",,"Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Risktol: 6.0/2.0, Timeurg: 6.0/8.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Mission: 7.0/8.0, Denial: 4.0/8.0, Risktol: 4.0/2.0",Mission: 2.0/8.0,"Denial: 2.0/8.0, Risktol: 3.0/2.0"
[4],15,[15 13 14 12 14],Sample: 12 / Pred: 15,Sample: 27 / Pred: 13,Sample: 10 / Pred: 14,Sample: 9 / Pred: 12,Sample: 14 / Pred: 14,"[12, 27, 10, 9, 14]","[2.0, 3.47, 4.24, 5.2, 5.57]",Mission: 0.0/2.0,"Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5","Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0","Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/8.0","Mission: 0.0/2.0, Denial: 3.0/2.0, Risktol: 7.0/2.0, Timeurg: 7.0/8.0"
[5],12,[14 14 13 14 14],Sample: 6 / Pred: 14,Sample: 22 / Pred: 14,Sample: 31 / Pred: 13,Sample: 10 / Pred: 14,Sample: 14 / Pred: 14,"[6, 22, 31, 10, 14]","[1.73, 3.88, 4.13, 4.24, 4.58]","Denial: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 7.0/6.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 7.0/6.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 8.0/7.0, Timeurg: 8.0/6.0","Denial: 6.0/7.0, Risktol: 3.0/7.0, Timeurg: 7.0/6.0","Mission: 0.0/2.0, Denial: 3.0/7.0, Timeurg: 7.0/6.0"
[6],14,[12 14 13 13 14],Sample: 5 / Pred: 12,Sample: 22 / Pred: 14,Sample: 31 / Pred: 13,Sample: 19 / Pred: 13,Sample: 10 / Pred: 14,"[5, 22, 31, 19, 10]","[1.73, 3.47, 3.75, 5.3, 5.39]","Denial: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/7.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Risktol: 7.0/8.0, Timeurg: 8.0/7.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Timeurg: 3.0/7.0","Denial: 6.0/8.0, Risktol: 3.0/8.0"
[7],13,[14 14 12 14 13],Sample: 10 / Pred: 14,Sample: 26 / Pred: 14,Sample: 5 / Pred: 12,Sample: 30 / Pred: 14,Sample: 3 / Pred: 13,"[10, 26, 5, 30, 3]","[2.45, 4.59, 5.48, 5.75, 6.0]","Denial: 6.0/8.0, Risktol: 3.0/2.0, Timeurg: 7.0/8.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 6.0/8.0, Risktol: 3.0/2.0, Timeurg: 6.0/8.0","Denial: 7.0/8.0, Risktol: 7.0/2.0, Timeurg: 6.0/8.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 6.0/8.0, Risktol: 3.0/2.0, Timeurg: 4.0/8.0",Mission: 8.0/2.0
[8],15,[12 12 12 14 15],Sample: 9 / Pred: 12,Sample: 13 / Pred: 12,Sample: 1 / Pred: 12,Sample: 30 / Pred: 14,Sample: 0 / Pred: 15,"[9, 13, 1, 30, 0]","[1.73, 2.0, 5.1, 5.75, 6.0]","Denial: 3.0/2.0, Risktol: 3.0/2.0, Timeurg: 3.0/2.0",Mission: 0.0/2.0,"Risktol: 7.0/2.0, Timeurg: 3.0/2.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 6.0/2.0, Risktol: 3.0/2.0, Timeurg: 4.0/2.0",Risktol: 8.0/2.0
[9],12,[15 12 12 14 14],Sample: 8 / Pred: 15,Sample: 13 / Pred: 12,Sample: 1 / Pred: 12,Sample: 30 / Pred: 14,Sample: 10 / Pred: 14,"[8, 13, 1, 30, 10]","[1.73, 2.65, 4.12, 4.7, 5.0]","Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0","Mission: 0.0/2.0, Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0","Denial: 2.0/3.0, Risktol: 7.0/3.0","Prompt: 1.0/0.0, Name: 2.0/1.0, Age: 25.0/22.0, Injury Type: 3.0/2.0, Severity: 0.25/0.5, Denial: 6.0/3.0, Timeurg: 4.0/3.0","Denial: 6.0/3.0, Timeurg: 7.0/3.0"
