Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
[0],15,[12 15 14 12 12],Case: 1 / Pred: 12,Case: 8 / Pred: 15,Case: 6 / Pred: 14,Case: 5 / Pred: 12,Case: 13 / Pred: 12,"[1, 8, 6, 5, 13]","[0.4688808984243883, 0.4678736489789611, 0.4675800195640902, 0.46652951684330923, 0.4661087519804898]","Risktol: 7.0/8.0, Timeurg: 3.0/2.0 - Counterfactual",Risktol: 2.0/8.0 - Non-Counterfactual,"Denial: 8.0/2.0, Timeurg: 7.0/2.0 - Counterfactual","Denial: 7.0/2.0, Risktol: 7.0/8.0, Timeurg: 6.0/2.0 - Counterfactual","Mission: 0.0/2.0, Risktol: 2.0/8.0 - Counterfactual"
[1],12,[15 12 12 14 14],Case: 0 / Pred: 15,Case: 5 / Pred: 12,Case: 9 / Pred: 12,Case: 6 / Pred: 14,Case: 14 / Pred: 14,"[0, 5, 9, 6, 14]","[0.4688808984243883, 0.4675800195640902, 0.4666253055242251, 0.46652951684330923, 0.4658140100506602]","Risktol: 8.0/7.0, Timeurg: 2.0/3.0 - Counterfactual","Denial: 7.0/2.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Denial: 3.0/2.0, Risktol: 3.0/7.0 - Non-Counterfactual","Denial: 8.0/2.0, Risktol: 8.0/7.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 0.0/2.0, Denial: 3.0/2.0, Timeurg: 7.0/3.0 - Counterfactual"
[2],14,[15 15 13 13 13],Case: 4 / Pred: 15,Case: 12 / Pred: 15,Case: 3 / Pred: 13,Case: 15 / Pred: 13,Case: 7 / Pred: 13,"[4, 12, 3, 15, 7]","[0.46969606658825586, 0.46969606658825586, 0.46910901812195815, 0.46910901812195815, 0.4673487863975569]","Mission: 2.0/8.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 0.0/8.0, Risktol: 2.0/3.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 2.0/8.0, Denial: 8.0/2.0, Risktol: 2.0/3.0 - Counterfactual"
[3],13,[13 13 14 15 15],Case: 15 / Pred: 13,Case: 7 / Pred: 13,Case: 2 / Pred: 14,Case: 4 / Pred: 15,Case: 12 / Pred: 15,"[15, 7, 2, 4, 12]","[0.47248710280182366, 0.4707395028866631, 0.46910901812195815, 0.4683974516975649, 0.4683974516975649]", - Non-Counterfactual,Mission: 2.0/8.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 2.0/8.0, Denial: 2.0/8.0 - Counterfactual","Mission: 0.0/8.0, Denial: 2.0/8.0 - Counterfactual"
[4],15,[15 13 15 14 13],Case: 12 / Pred: 15,Case: 7 / Pred: 13,Case: 8 / Pred: 15,Case: 2 / Pred: 14,Case: 3 / Pred: 13,"[12, 7, 8, 2, 3]","[0.4707395028866631, 0.47015375728888, 0.4699261447469857, 0.46969606658825586, 0.4683974516975649]",Mission: 0.0/2.0 - Non-Counterfactual,Denial: 8.0/2.0 - Counterfactual,Timeurg: 2.0/8.0 - Non-Counterfactual,"Mission: 8.0/2.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 8.0/2.0, Denial: 8.0/2.0 - Counterfactual"
[5],12,[12 13 15 14 14],Case: 1 / Pred: 12,Case: 11 / Pred: 13,Case: 0 / Pred: 15,Case: 6 / Pred: 14,Case: 14 / Pred: 14,"[1, 11, 0, 6, 14]","[0.4675800195640902, 0.46711980708505946, 0.46652951684330923, 0.46652951684330923, 0.4658140100506602]","Denial: 2.0/7.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Mission: 8.0/2.0, Risktol: 8.0/7.0, Timeurg: 8.0/6.0 - Counterfactual","Denial: 2.0/7.0, Risktol: 8.0/7.0, Timeurg: 2.0/6.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 7.0/6.0 - Counterfactual","Mission: 0.0/2.0, Denial: 3.0/7.0, Timeurg: 7.0/6.0 - Counterfactual"
[6],14,[15 14 12 12 14],Case: 0 / Pred: 15,Case: 14 / Pred: 14,Case: 1 / Pred: 12,Case: 5 / Pred: 12,Case: 10 / Pred: 14,"[0, 14, 1, 5, 10]","[0.4675800195640902, 0.4673487863975569, 0.46652951684330923, 0.46652951684330923, 0.4660161623948598]","Denial: 2.0/8.0, Timeurg: 2.0/7.0 - Counterfactual","Mission: 0.0/2.0, Denial: 3.0/8.0, Risktol: 7.0/8.0 - Non-Counterfactual","Denial: 2.0/8.0, Risktol: 7.0/8.0, Timeurg: 3.0/7.0 - Counterfactual","Denial: 7.0/8.0, Risktol: 7.0/8.0, Timeurg: 6.0/7.0 - Counterfactual","Denial: 6.0/8.0, Risktol: 3.0/8.0 - Non-Counterfactual"
[7],13,[13 13 15 15 15],Case: 3 / Pred: 13,Case: 15 / Pred: 13,Case: 4 / Pred: 15,Case: 12 / Pred: 15,Case: 8 / Pred: 15,"[3, 15, 4, 12, 8]","[0.4707395028866631, 0.4707395028866631, 0.47015375728888, 0.4683974516975649, 0.4675800195640902]",Mission: 8.0/2.0 - Non-Counterfactual,Mission: 8.0/2.0 - Non-Counterfactual,Denial: 2.0/8.0 - Counterfactual,"Mission: 0.0/2.0, Denial: 2.0/8.0 - Counterfactual","Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Counterfactual"
[8],15,[12 15 15 15 13],Case: 13 / Pred: 12,Case: 4 / Pred: 15,Case: 12 / Pred: 15,Case: 0 / Pred: 15,Case: 7 / Pred: 13,"[13, 4, 12, 0, 7]","[0.4707395028866631, 0.4699261447469857, 0.46816898528275724, 0.4678736489789611, 0.4675800195640902]",Mission: 0.0/2.0 - Counterfactual,Timeurg: 8.0/2.0 - Non-Counterfactual,"Mission: 0.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual",Risktol: 8.0/2.0 - Non-Counterfactual,"Denial: 8.0/2.0, Timeurg: 8.0/2.0 - Counterfactual"
[9],12,[14 12 15 13 15],Case: 10 / Pred: 14,Case: 1 / Pred: 12,Case: 4 / Pred: 15,Case: 7 / Pred: 13,Case: 8 / Pred: 15,"[10, 1, 4, 7, 8]","[0.4675800195640902, 0.4666253055242251, 0.46652951684330923, 0.46652951684330923, 0.46652951684330923]","Denial: 6.0/3.0, Timeurg: 7.0/3.0 - Counterfactual","Denial: 2.0/3.0, Risktol: 7.0/3.0 - Non-Counterfactual","Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 8.0/3.0 - Counterfactual","Denial: 8.0/3.0, Risktol: 2.0/3.0, Timeurg: 8.0/3.0 - Counterfactual","Denial: 2.0/3.0, Risktol: 2.0/3.0, Timeurg: 2.0/3.0 - Counterfactual"
[10],14,[12 15 13 15 14],Case: 9 / Pred: 12,Case: 4 / Pred: 15,Case: 7 / Pred: 13,Case: 8 / Pred: 15,Case: 6 / Pred: 14,"[9, 4, 7, 8, 6]","[0.4675800195640902, 0.46652951684330923, 0.46652951684330923, 0.46652951684330923, 0.4660161623948598]","Denial: 3.0/6.0, Timeurg: 3.0/7.0 - Counterfactual","Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0 - Counterfactual","Denial: 8.0/6.0, Risktol: 2.0/3.0, Timeurg: 8.0/7.0 - Counterfactual","Denial: 2.0/6.0, Risktol: 2.0/3.0, Timeurg: 2.0/7.0 - Counterfactual","Denial: 8.0/6.0, Risktol: 8.0/3.0 - Non-Counterfactual"
