Case,Actual Outcome,Actual Outcome of 5 Most Similar Cases,Similarity#1,Similarity#2,Similarity#3,Similarity#4,Similarity#5,Top 5 Most Similar Case Index,Similarity Score,Diff_Attributes: Most Similar Variation 1,Diff_Attributes: Most Similar Variation 2,Diff_Attributes: Most Similar Variation 3,Diff_Attributes: Most Similar Variation 4,Diff_Attributes: Most Similar Variation 5
0,12,[12 12 12 12 12],Case: 8 / Pred: 12,Case: 4 / Pred: 12,Case: 12 / Pred: 12,Case: 16 / Pred: 12,Case: 20 / Pred: 12,"[8, 4, 12, 16, 20]","[0.3403081901700035, 0.33940082184166687, 0.33920314355080317, 0.322234001614466, 0.3214983755057205]",Risktol: 2.0/8.0 - Non-Counterfactual,"Risktol: 2.0/8.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Mission: 0.0/2.0, Risktol: 2.0/8.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 3.0/2.0, Denial: 8.0/2.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 3.0/2.0, Denial: 7.0/2.0, Risktol: 3.0/8.0 - Non-Counterfactual"
1,9,[ 9  9 11 11  9],Case: 9 / Pred: 9,Case: 5 / Pred: 9,Case: 14 / Pred: 11,Case: 2 / Pred: 11,Case: 13 / Pred: 9,"[9, 5, 14, 2, 13]","[0.33989070683478784, 0.3396799854367662, 0.3394824697009694, 0.33920314355080317, 0.33920314355080317]","Denial: 3.0/2.0, Risktol: 3.0/7.0 - Non-Counterfactual","Denial: 7.0/2.0, Timeurg: 6.0/3.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 3.0/2.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 8.0/2.0, Risktol: 3.0/7.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 0.0/2.0, Risktol: 2.0/7.0, Timeurg: 2.0/3.0 - Non-Counterfactual"
2,11,[10 10 10 10  9],Case: 3 / Pred: 10,Case: 11 / Pred: 10,Case: 15 / Pred: 10,Case: 7 / Pred: 10,Case: 9 / Pred: 9,"[3, 11, 15, 7, 9]","[0.33989070683478784, 0.33989070683478784, 0.33989070683478784, 0.33969331362362665, 0.3394824697009694]","Denial: 8.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Denial: 7.0/2.0, Risktol: 8.0/3.0 - Counterfactual","Denial: 8.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 2.0/8.0, Denial: 8.0/2.0, Risktol: 2.0/3.0 - Counterfactual","Mission: 2.0/8.0, Denial: 3.0/2.0, Timeurg: 3.0/8.0 - Counterfactual"
3,10,[10 10 11 10  9],Case: 15 / Pred: 10,Case: 7 / Pred: 10,Case: 2 / Pred: 11,Case: 11 / Pred: 10,Case: 13 / Pred: 9,"[15, 7, 2, 11, 13]","[0.3410032413928608, 0.34080649255609197, 0.33989070683478784, 0.33989070683478784, 0.3394824697009694]", - Non-Counterfactual,Mission: 2.0/8.0 - Non-Counterfactual,"Denial: 2.0/8.0, Risktol: 3.0/2.0 - Counterfactual","Denial: 7.0/8.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 0.0/8.0, Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Counterfactual"
4,12,[12 12 12 12 12],Case: 12 / Pred: 12,Case: 8 / Pred: 12,Case: 0 / Pred: 12,Case: 28 / Pred: 12,Case: 16 / Pred: 12,"[12, 8, 0, 28, 16]","[0.34080649255609197, 0.34009772744088324, 0.33940082184166687, 0.32193971043807085, 0.32053776536132667]",Mission: 0.0/2.0 - Non-Counterfactual,Timeurg: 2.0/8.0 - Non-Counterfactual,"Risktol: 8.0/2.0, Timeurg: 2.0/8.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 6.0/2.0, Risktol: 6.0/2.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 3.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/2.0, Timeurg: 2.0/8.0 - Non-Counterfactual"
5,9,[ 9 11 10 11 10],Case: 1 / Pred: 9,Case: 14 / Pred: 11,Case: 11 / Pred: 10,Case: 6 / Pred: 11,Case: 7 / Pred: 10,"[1, 14, 11, 6, 7]","[0.3396799854367662, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736, 0.33898222101264736]","Denial: 2.0/7.0, Timeurg: 3.0/6.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 3.0/7.0, Timeurg: 7.0/6.0 - Counterfactual","Mission: 8.0/2.0, Risktol: 8.0/7.0, Timeurg: 8.0/6.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 8.0/7.0, Timeurg: 7.0/6.0 - Counterfactual","Denial: 8.0/7.0, Risktol: 2.0/7.0, Timeurg: 8.0/6.0 - Counterfactual"
6,11,[11 11 10 10 10],Case: 10 / Pred: 11,Case: 14 / Pred: 11,Case: 11 / Pred: 10,Case: 7 / Pred: 10,Case: 3 / Pred: 10,"[10, 14, 11, 7, 3]","[0.33989070683478784, 0.33969331362362665, 0.3394824697009694, 0.33940082184166687, 0.33920314355080317]","Denial: 6.0/8.0, Risktol: 3.0/8.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 3.0/8.0, Risktol: 7.0/8.0 - Non-Counterfactual","Mission: 8.0/2.0, Denial: 7.0/8.0, Timeurg: 8.0/7.0 - Counterfactual","Risktol: 2.0/8.0, Timeurg: 8.0/7.0 - Counterfactual","Mission: 8.0/2.0, Risktol: 2.0/8.0, Timeurg: 8.0/7.0 - Counterfactual"
7,10,[10 10 11 10  9],Case: 3 / Pred: 10,Case: 15 / Pred: 10,Case: 2 / Pred: 11,Case: 11 / Pred: 10,Case: 13 / Pred: 9,"[3, 15, 2, 11, 13]","[0.34080649255609197, 0.34080649255609197, 0.33969331362362665, 0.33969331362362665, 0.3394824697009694]",Mission: 8.0/2.0 - Non-Counterfactual,Mission: 8.0/2.0 - Non-Counterfactual,"Mission: 8.0/2.0, Denial: 2.0/8.0, Risktol: 3.0/2.0 - Counterfactual","Mission: 8.0/2.0, Denial: 7.0/8.0, Risktol: 8.0/2.0 - Non-Counterfactual","Mission: 0.0/2.0, Denial: 2.0/8.0, Timeurg: 2.0/8.0 - Counterfactual"
8,12,[12 12 12 12 12],Case: 0 / Pred: 12,Case: 4 / Pred: 12,Case: 12 / Pred: 12,Case: 16 / Pred: 12,Case: 20 / Pred: 12,"[0, 4, 12, 16, 20]","[0.3403081901700035, 0.34009772744088324, 0.3399004544545376, 0.3214983755057205, 0.3214983755057205]",Risktol: 8.0/2.0 - Non-Counterfactual,Timeurg: 8.0/2.0 - Non-Counterfactual,"Mission: 0.0/2.0, Timeurg: 8.0/2.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 3.0/2.0, Denial: 8.0/2.0, Risktol: 8.0/2.0 - Non-Counterfactual","Prompt: 1.0/0.0, Age: 25.0/22.0, Injury Type: 2.0/1.0, Severity: 0.25/0.5, Mission: 3.0/2.0, Denial: 7.0/2.0, Risktol: 3.0/2.0 - Non-Counterfactual"
9,9,[ 9 11 11 11  9],Case: 1 / Pred: 9,Case: 10 / Pred: 11,Case: 2 / Pred: 11,Case: 14 / Pred: 11,Case: 5 / Pred: 9,"[1, 10, 2, 14, 5]","[0.33989070683478784, 0.3396799854367662, 0.3394824697009694, 0.33920314355080317, 0.33898222101264736]","Denial: 2.0/3.0, Risktol: 7.0/3.0 - Non-Counterfactual","Denial: 6.0/3.0, Timeurg: 7.0/3.0 - Counterfactual","Mission: 8.0/2.0, Denial: 2.0/3.0, Timeurg: 8.0/3.0 - Counterfactual","Mission: 0.0/2.0, Risktol: 7.0/3.0, Timeurg: 7.0/3.0 - Counterfactual","Denial: 7.0/3.0, Risktol: 7.0/3.0, Timeurg: 6.0/3.0 - Non-Counterfactual"
