type,prompt,action1,tag,treatment,location,casualty_name,casualty_age,casualty_sex,casualty_rank,injury_type,injury_severity,injury_location,mission,denial,risktol,timeurg
SelectTag,How would you tag A?,TAG_CASUALTY,MINOR,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,2,8,2
SelectTag,How would you tag A?,TAG_CASUALTY,DELAYED,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,2,7,3
SelectTag,How would you tag A?,TAG_CASUALTY,IMMEDIATE,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,8,2,3,8
SelectTag,How would you tag A?,TAG_CASUALTY,EXPECTANT,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,8,8,2,8
SelectTag,How would you tag A?,TAG_CASUALTY,MINOR,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,2,2,8
SelectTag,How would you tag A?,TAG_CASUALTY,DELAYED,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,7,7,6
SelectTag,How would you tag A?,TAG_CASUALTY,IMMEDIATE,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,8,8,7
SelectTag,How would you tag A?,TAG_CASUALTY,EXPECTANT,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,8,2,8
SelectTag,How would you tag A?,TAG_CASUALTY,MINOR,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,2,2,2
SelectTag,How would you tag A?,TAG_CASUALTY,DELAYED,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,3,3,3
SelectTag,How would you tag A?,TAG_CASUALTY,IMMEDIATE,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,2,6,3,7
SelectTag,How would you tag A?,TAG_CASUALTY,EXPECTANT,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,8,7,8,8
SelectTag,How would you tag A?,TAG_CASUALTY,MINOR,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,0,2,2,8
SelectTag,How would you tag A?,TAG_CASUALTY,DELAYED,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,0,2,2,2
SelectTag,How would you tag A?,TAG_CASUALTY,IMMEDIATE,None,None,casualty-A,22,M,MARINE,PUNCTURE,.5,LEFT_SIDE,0,3,7,7
