type,prompt,treatment,mission,denial,risktol,timeurg
0,0,3,2,2,8,2
0,0,11,2,2,7,3
0,0,10,8,2,3,8
0,0,2,8,8,2,8
0,0,3,2,2,2,8
0,0,11,2,7,7,6
0,0,10,2,8,8,7
0,0,2,2,8,2,8
0,0,3,2,2,2,2
0,0,11,2,3,3,3
0,0,10,2,6,3,7
0,0,2,8,7,8,8
0,0,3,0,2,2,8
0,0,11,0,2,2,2
0,0,10,0,3,7,7
0,0,2,8,8,2,8
0,1,3,3,8,8,2
0,1,11,8,7,7,2
0,1,10,2,2,8,8
0,1,2,2,8,8,3
0,1,3,3,7,3,2
0,1,11,7,6,7,2
0,1,10,2,8,8,7
0,1,2,7,2,2,2
0,1,3,8,3,3,3
0,1,11,8,8,6,6
0,1,10,2,6,3,6
0,1,2,2,2,2,8
0,1,3,6,2,6,8
0,1,11,7,4,4,8
0,1,10,2,6,3,4
0,1,2,2,8,7,8
0,2,3,3,2,8,2
0,2,11,7,2,7,3
0,2,10,8,2,2,7
0,2,2,2,8,8,8
0,2,3,2,2,8,2
0,2,11,7,6,7,3
0,2,10,8,2,6,7
0,2,2,2,8,3,2
0,2,3,8,3,3,6
0,2,11,8,8,6,6
0,2,10,4,3,3,6
0,2,2,2,2,2,8
0,2,3,7,8,0,8
0,2,11,4,8,2,6
0,2,10,6,2,2,0
0,2,2,2,8,0,8
0,3,3,3,8,8,2
0,3,11,3,4,7,7
0,3,10,7,2,3,8
0,3,2,8,8,8,8
0,3,3,2,8,2,2
0,3,11,3,7,3,4
0,3,10,2,3,7,2
0,3,2,3,2,2,2
0,3,3,3,8,8,8
0,3,11,8,7,7,6
0,3,10,3,6,3,7
0,3,2,2,2,2,8
0,3,3,0,8,8,8
0,3,11,0,6,7,6
0,3,10,0,3,2,4
0,3,2,7,8,8,8
0,4,3,8,7,7,2
0,4,11,2,3,6,7
0,4,10,2,2,3,8
0,4,2,8,8,8,8
0,4,3,8,2,2,2
0,4,11,6,3,7,3
0,4,10,4,8,8,7
0,4,2,8,2,2,2
0,4,3,2,2,4,2
0,4,11,3,6,6,3
0,4,10,8,8,6,8
0,4,2,3,4,2,8
0,4,3,0,8,8,8
