type,prompt,action1,tag,treatment,location,casualty_name,casualty_age,casualty_sex,casualty_rank,injury_type,injury_severity,injury_location,mission,denial,risktol,timeurg
2,0,3,4,2,4,1,22,1,2,2,2,2,2,2,8,2
2,0,3,1,2,4,1,22,1,2,2,2,2,2,2,7,3
2,0,3,3,2,4,1,22,1,2,2,2,2,8,2,3,8
2,0,3,2,2,4,1,22,1,2,2,2,2,8,8,2,8
2,0,3,4,2,4,1,22,1,2,2,2,2,2,2,2,8
2,0,3,1,2,4,1,22,1,2,2,2,2,2,7,7,6
2,0,3,3,2,4,1,22,1,2,2,2,2,2,8,8,7
2,0,3,2,2,4,1,22,1,2,2,2,2,2,8,2,8
2,0,3,4,2,4,1,22,1,2,2,2,2,2,2,2,2
2,0,3,1,2,4,1,22,1,2,2,2,2,2,3,3,3
2,0,3,3,2,4,1,22,1,2,2,2,2,2,6,3,7
2,0,3,2,2,4,1,22,1,2,2,2,2,8,7,8,8
2,0,3,4,2,4,1,22,1,2,2,2,2,0,2,2,8
2,0,3,1,2,4,1,22,1,2,2,2,2,0,2,2,2
2,0,3,3,2,4,1,22,1,2,2,2,2,0,3,7,7
2,0,3,2,2,4,1,22,1,2,2,2,2,8,8,2,8
2,1,3,4,2,4,2,25,1,2,3,1,2,3,8,8,2
2,1,3,1,2,4,2,25,1,2,3,1,2,8,7,7,2
2,1,3,3,2,4,2,25,1,2,3,1,2,2,2,8,8
2,1,3,2,2,4,2,25,1,2,3,1,2,2,8,8,3
2,1,3,4,2,4,2,25,1,2,3,1,2,3,7,3,2
2,1,3,1,2,4,2,25,1,2,3,1,2,7,6,7,2
2,1,3,3,2,4,2,25,1,2,3,1,2,2,8,8,7
2,1,3,2,2,4,2,25,1,2,3,1,2,7,2,2,2
2,1,3,4,2,4,2,25,1,2,3,1,2,8,3,3,3
2,1,3,1,2,4,2,25,1,2,3,1,2,8,8,6,6
2,1,3,3,2,4,2,25,1,2,3,1,2,2,6,3,6
2,1,3,2,2,4,2,25,1,2,3,1,2,2,2,2,8
2,1,3,4,2,4,2,25,1,2,3,1,2,6,2,6,8
2,1,3,1,2,4,2,25,1,2,3,1,2,7,4,4,8
2,1,3,3,2,4,2,25,1,2,3,1,2,2,6,3,4
2,1,3,2,2,4,2,25,1,2,3,1,2,2,8,7,8
2,2,3,4,2,4,3,36,1,2,3,1,1,3,2,8,2
2,2,3,1,2,4,3,36,1,2,3,1,1,7,2,7,3
2,2,3,3,2,4,3,36,1,2,3,1,1,8,2,2,7
2,2,3,2,2,4,3,36,1,2,3,1,1,2,8,8,8
2,2,3,4,2,4,3,36,1,2,3,1,1,2,2,8,2
2,2,3,1,2,4,3,36,1,2,3,1,1,7,6,7,3
2,2,3,3,2,4,3,36,1,2,3,1,1,8,2,6,7
2,2,3,2,2,4,3,36,1,2,3,1,1,2,8,3,2
2,2,3,4,2,4,3,36,1,2,3,1,1,8,3,3,6
2,2,3,1,2,4,3,36,1,2,3,1,1,8,8,6,6
2,2,3,3,2,4,3,36,1,2,3,1,1,4,3,3,6
2,2,3,2,2,4,3,36,1,2,3,1,1,2,2,2,8
2,2,3,4,2,4,3,36,1,2,3,1,1,7,8,0,8
2,2,3,1,2,4,3,36,1,2,3,1,1,4,8,2,6
2,2,3,3,2,4,3,36,1,2,3,1,1,6,2,2,0
2,2,3,2,2,4,3,36,1,2,3,1,1,2,8,0,8
2,3,3,4,2,4,4,40,1,1,3,1,4,3,8,8,2
2,3,3,1,2,4,4,40,1,1,3,1,4,3,4,7,7
2,3,3,3,2,4,4,40,1,1,3,1,4,7,2,3,8
2,3,3,2,2,4,4,40,1,1,3,1,4,8,8,8,8
2,3,3,4,2,4,4,40,1,1,3,1,4,2,8,2,2
2,3,3,1,2,4,4,40,1,1,3,1,4,3,7,3,4
2,3,3,3,2,4,4,40,1,1,3,1,4,2,3,7,2
2,3,3,2,2,4,4,40,1,1,3,1,4,3,2,2,2
2,3,3,4,2,4,4,40,1,1,3,1,4,3,8,8,8
2,3,3,1,2,4,4,40,1,1,3,1,4,8,7,7,6
2,3,3,3,2,4,4,40,1,1,3,1,4,3,6,3,7
2,3,3,2,2,4,4,40,1,1,3,1,4,2,2,2,8
2,3,3,4,2,4,4,40,1,1,3,1,4,0,8,8,8
2,3,3,1,2,4,4,40,1,1,3,1,4,0,6,7,6
2,3,3,3,2,4,4,40,1,1,3,1,4,0,3,2,4
2,3,3,2,2,4,4,40,1,1,3,1,4,7,8,8,8
2,4,3,4,2,4,5,26,1,2,0,3,3,8,7,7,2
2,4,3,1,2,4,5,26,1,2,0,3,3,2,3,6,7
2,4,3,3,2,4,5,26,1,2,0,3,3,2,2,3,8
2,4,3,2,2,4,5,26,1,2,0,3,3,8,8,8,8
2,4,3,4,2,4,5,26,1,2,0,3,3,8,2,2,2
2,4,3,1,2,4,5,26,1,2,0,3,3,6,3,7,3
2,4,3,3,2,4,5,26,1,2,0,3,3,4,8,8,7
2,4,3,2,2,4,5,26,1,2,0,3,3,8,2,2,2
2,4,3,4,2,4,5,26,1,2,0,3,3,2,2,4,2
2,4,3,1,2,4,5,26,1,2,0,3,3,3,6,6,3
2,4,3,3,2,4,5,26,1,2,0,3,3,8,8,6,8
2,4,3,2,2,4,5,26,1,2,0,3,3,3,4,2,8
2,4,3,4,2,4,5,26,1,2,0,3,3,0,8,8,8
2,4,3,1,2,4,5,26,1,2,0,3,3,0,4,4,8
2,4,3,3,2,4,5,26,1,2,0,3,3,0,4,2,4
2,4,3,2,2,4,5,26,1,2,0,3,3,7,8,8,8
1,6,1,5,2,4,1,22,1,2,2,2,2,2,2,8,2
1,6,1,5,2,4,2,25,1,2,3,1,2,7,7,7,3
1,6,1,5,2,4,3,36,1,2,3,1,1,8,8,8,3
1,6,1,5,2,0,4,40,1,1,3,1,4,3,8,7,8
1,6,1,5,2,4,1,22,1,2,2,2,2,2,8,8,2
1,6,1,5,2,4,2,25,1,2,3,1,2,7,7,7,3
1,6,1,5,2,4,3,36,1,2,3,1,1,8,7,3,3
1,6,1,5,2,4,4,40,1,1,3,1,4,8,3,7,3
1,6,1,5,2,4,1,22,1,2,2,2,2,2,2,3,2
1,6,1,5,2,4,2,25,1,2,3,1,2,7,2,4,2
1,6,1,5,2,4,3,36,1,2,3,1,1,8,2,6,3
1,6,1,5,2,4,4,40,1,1,3,1,4,6,2,8,2
1,6,1,5,2,4,1,22,1,2,2,2,2,2,2,7,7
1,6,1,5,2,4,2,25,1,2,3,1,2,4,2,6,6
1,6,1,5,2,4,3,36,1,2,3,1,1,8,2,3,7
1,6,1,5,2,4,4,40,1,1,3,1,4,4,2,2,4
1,7,1,5,2,4,1,22,1,2,2,2,2,2,2,8,2
1,7,1,5,2,4,2,25,1,2,3,1,2,8,8,3,7
1,7,1,5,2,4,4,40,1,1,3,1,4,8,8,2,8
1,7,1,5,2,4,5,26,1,2,0,3,3,2,3,8,2
1,7,1,5,2,4,1,22,1,2,2,2,2,2,8,8,2
1,7,1,5,2,4,2,25,1,2,3,1,2,3,7,7,7
1,7,1,5,2,4,4,40,1,1,3,1,4,3,8,3,3
1,7,1,5,2,4,5,26,1,2,0,3,3,2,3,7,2
1,7,1,5,2,4,1,22,1,2,2,2,2,2,2,3,2
1,7,1,5,2,4,2,25,1,2,3,1,2,7,2,3,4
1,7,1,5,2,4,4,40,1,1,3,1,4,7,8,8,6
1,7,1,5,2,4,5,26,1,2,0,3,3,2,3,2,4
1,7,1,5,2,4,1,22,1,2,2,2,2,2,2,7,7
1,7,1,5,2,4,2,25,1,2,3,1,2,4,2,6,6
1,7,1,5,2,4,4,40,1,1,3,1,4,4,2,2,4
1,7,1,5,2,4,5,26,1,2,0,3,3,4,2,3,2
3,14,1,5,2,4,1,22,1,2,2,2,2,2,6,8,2
3,14,1,5,2,4,1,22,1,2,2,2,2,8,2,2,3
3,14,1,5,2,4,1,22,1,2,2,2,2,2,2,7,2
3,14,0,5,3,3,1,22,1,2,2,2,2,2,2,8,2
3,14,1,5,2,4,1,22,1,2,2,2,2,2,3,8,3
3,14,1,5,2,4,1,22,1,2,2,2,2,4,3,2,7
3,14,1,5,2,4,1,22,1,2,2,2,2,2,7,7,2
3,14,0,5,3,3,1,22,1,2,2,2,2,2,7,8,2
3,14,1,5,2,4,1,22,1,2,2,2,2,8,3,6,8
3,14,1,5,2,4,1,22,1,2,2,2,2,8,3,3,8
3,14,1,5,2,4,1,22,1,2,2,2,2,2,3,3,6
3,14,0,5,3,3,1,22,1,2,2,2,2,3,3,3,6
3,14,1,5,2,4,1,22,1,2,2,2,2,4,3,2,2
3,14,1,5,2,4,1,22,1,2,2,2,2,6,7,3,3
3,14,1,5,2,4,1,22,1,2,2,2,2,4,2,2,2
3,14,0,5,3,3,1,22,1,2,2,2,2,0,2,8,2
3,15,1,5,2,4,2,25,1,2,3,1,2,8,7,2,2
3,15,1,5,2,4,2,25,1,2,3,1,2,7,2,4,4
3,15,1,5,2,4,2,25,1,2,3,1,2,7,3,4,7
3,15,0,5,3,3,2,25,1,2,3,1,2,2,2,2,7
3,15,1,5,2,4,2,25,1,2,3,1,2,2,3,8,3
3,15,1,5,2,4,2,25,1,2,3,1,2,4,3,2,7
3,15,1,5,2,4,2,25,1,2,3,1,2,2,3,7,2
