session_id,scenario_id,probe_id,choice,mission,denial,risktol,timeurg
27299460,st-september-2023,select-tag-a,D,3,5,4,5
27299460,st-september-2023,select-tag-b,B,3,5,4,5
27299460,st-september-2023,select-tag-c,A,3,5,4,5
27299460,st-september-2023,select-tag-d,C,3,5,4,5
27299460,st-september-2023,select-tag-e,C,3,5,4,5
27299460,st-september-2023,select-casualty-abcd,D,3,5,4,5
27299460,st-september-2023,select-casualty-abde,C,3,5,4,5
27299460,st-september-2023,select-casualty-bcde,C,3,5,4,5
27299460,st-september-2023,select-first-treatment-a,A,3,5,4,5
27299460,st-september-2023,select-first-treatment-b,B,3,5,4,5
27299460,st-september-2023,select-first-treatment-c,D,3,5,4,5
27299460,st-september-2023,select-first-treatment-d,D,3,5,4,5
27299460,st-september-2023,select-first-treatment-e,D,3,5,4,5
27299460,st-september-2023,select-post-assessment-treatment-a,A,3,5,4,5
27299460,st-september-2023,select-post-assessment-treatment-b,C,3,5,4,5
27299460,st-september-2023,select-post-assessment-treatment-c,D,3,5,4,5
27299460,st-september-2023,select-post-assessment-treatment-d,D,3,5,4,5
27299460,st-september-2023,select-post-assessment-treatment-e,D,3,5,4,5
07972402,st-september-2023,select-tag-a,D,6,3,6,6
07972402,st-september-2023,select-tag-b,B,6,3,6,6
07972402,st-september-2023,select-tag-c,A,6,3,6,6
07972402,st-september-2023,select-tag-d,C,6,3,6,6
07972402,st-september-2023,select-tag-e,C,6,3,6,6
07972402,st-september-2023,select-casualty-abcd,D,6,3,6,6
07972402,st-september-2023,select-casualty-abde,C,6,3,6,6
07972402,st-september-2023,select-casualty-bcde,C,6,3,6,6
07972402,st-september-2023,select-first-treatment-a,B,6,3,6,6
07972402,st-september-2023,select-first-treatment-b,B,6,3,6,6
07972402,st-september-2023,select-first-treatment-c,D,6,3,6,6
07972402,st-september-2023,select-first-treatment-d,D,6,3,6,6
07972402,st-september-2023,select-first-treatment-e,D,6,3,6,6
07972402,st-september-2023,select-post-assessment-treatment-a,A,6,3,6,6
07972402,st-september-2023,select-post-assessment-treatment-b,B,6,3,6,6
07972402,st-september-2023,select-post-assessment-treatment-c,D,6,3,6,6
07972402,st-september-2023,select-post-assessment-treatment-d,D,6,3,6,6
07972402,st-september-2023,select-post-assessment-treatment-e,D,6,3,6,6
90294653,st-september-2023,select-tag-a,D,3,7,3,7
90294653,st-september-2023,select-tag-b,B,3,7,3,7
90294653,st-september-2023,select-tag-c,B,3,7,3,7
90294653,st-september-2023,select-tag-d,A,3,7,3,7
90294653,st-september-2023,select-tag-e,C,3,7,3,7
90294653,st-september-2023,select-casualty-abcd,D,3,7,3,7
90294653,st-september-2023,select-casualty-abde,C,3,7,3,7
90294653,st-september-2023,select-casualty-bcde,D,3,7,3,7
90294653,st-september-2023,select-first-treatment-a,B,3,7,3,7
90294653,st-september-2023,select-first-treatment-b,D,3,7,3,7
90294653,st-september-2023,select-first-treatment-c,A,3,7,3,7
90294653,st-september-2023,select-first-treatment-d,D,3,7,3,7
90294653,st-september-2023,select-first-treatment-e,D,3,7,3,7
90294653,st-september-2023,select-post-assessment-treatment-a,B,3,7,3,7
90294653,st-september-2023,select-post-assessment-treatment-b,C,3,7,3,7
90294653,st-september-2023,select-post-assessment-treatment-c,D,3,7,3,7
90294653,st-september-2023,select-post-assessment-treatment-d,D,3,7,3,7
90294653,st-september-2023,select-post-assessment-treatment-e,D,3,7,3,7
01496463,st-september-2023,select-tag-a,D,6,7,3,7
01496463,st-september-2023,select-tag-b,C,6,7,3,7
01496463,st-september-2023,select-tag-c,A,6,7,3,7
01496463,st-september-2023,select-tag-d,C,6,7,3,7
01496463,st-september-2023,select-tag-e,C,6,7,3,7
01496463,st-september-2023,select-casualty-abcd,D,6,7,3,7
01496463,st-september-2023,select-casualty-abde,D,6,7,3,7
01496463,st-september-2023,select-casualty-bcde,C,6,7,3,7
01496463,st-september-2023,select-first-treatment-a,B,6,7,3,7
01496463,st-september-2023,select-first-treatment-b,B,6,7,3,7
01496463,st-september-2023,select-first-treatment-c,A,6,7,3,7
01496463,st-september-2023,select-first-treatment-d,D,6,7,3,7
01496463,st-september-2023,select-first-treatment-e,A,6,7,3,7
01496463,st-september-2023,select-post-assessment-treatment-a,A,6,7,3,7
01496463,st-september-2023,select-post-assessment-treatment-b,B,6,7,3,7
01496463,st-september-2023,select-post-assessment-treatment-c,D,6,7,3,7
01496463,st-september-2023,select-post-assessment-treatment-d,D,6,7,3,7
01496463,st-september-2023,select-post-assessment-treatment-e,D,6,7,3,7
