CaseNumber,Background,PatientTreated,Scenario,Risk aversion,Mission,Treatment 1,Treatment 2,Treatment 3,Treatment 4,Treatment 5,Treatment 6,"if Casualty A then treatment 1, treatment 2, treatment 3","if Casualty B then treatment 1, treatment 2, treatment 3","if Casualty C then treatment 1, treatment 2, treatment 3","if Casualty D then treatment 4, treatment 5, treatment 6","if Casualty E then treatment 4, treatment 5, treatment 6","if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6",if safe area then treatment 1 survival rate is high,if safe then exclude the highest,if danger then exclude the lowest,if low risk then favor higher,if high risk then favor lower,M Mission,M Risk aversion,difference,new Decision,Decision
0,0,0,0,9,6,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,7,8,1.4142135623730951,0,0
1,0,0,1,9,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7,8,1.4142135623730951,1,1
2,0,1,0,9,6,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,7,8,1.4142135623730951,0,0
3,0,1,1,9,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,7,8,1.4142135623730951,1,1
4,0,2,0,9,6,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,7,8,1.4142135623730951,0,0
5,0,2,1,9,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7,8,1.4142135623730951,1,1
6,0,3,0,9,6,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,7,8,1.4142135623730951,3,3
7,0,3,1,9,6,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,7,8,1.4142135623730951,4,4
8,0,4,0,9,6,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,7,8,1.4142135623730951,3,3
9,0,4,1,9,6,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,7,8,1.4142135623730951,4,4
10,0,5,0,9,6,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,7,8,1.4142135623730951,1,1
11,0,5,1,9,6,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,7,8,1.4142135623730951,3,3
12,1,0,0,8,7,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,6,9,1.4142135623730951,0,0
