Unnamed: 0,type,prompt,action1,casualty_name,casualty_age,casualty_sex,casualty_rank,injury_type,injury_severity,injury_location,mission,denial,risktol,timeurg
0,SelectTag,How would you tag A?,TAG_CASUALTY MINOR None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,8,2
1,SelectTag,How would you tag A?,TAG_CASUALTY DELAYED None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,7,3
2,SelectTag,How would you tag A?,TAG_CASUALTY IMMEDIATE None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,8,2,3,8
3,SelectTag,How would you tag A?,TAG_CASUALTY EXPECTANT None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,8,8,2,8
4,SelectTag,How would you tag A?,TAG_CASUALTY MINOR None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,2,8
5,SelectTag,How would you tag A?,TAG_CASUALTY DELAYED None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,7,7,6
6,SelectTag,How would you tag A?,TAG_CASUALTY IMMEDIATE None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,8,8,7
7,SelectTag,How would you tag A?,TAG_CASUALTY EXPECTANT None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,8,2,8
8,SelectTag,How would you tag A?,TAG_CASUALTY MINOR None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,2,2,2
9,SelectTag,How would you tag A?,TAG_CASUALTY DELAYED None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,3,3,3
10,SelectTag,How would you tag A?,TAG_CASUALTY IMMEDIATE None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,2,6,3,7
11,SelectTag,How would you tag A?,TAG_CASUALTY EXPECTANT None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,8,7,8,8
12,SelectTag,How would you tag A?,TAG_CASUALTY MINOR None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,0,2,2,8
13,SelectTag,How would you tag A?,TAG_CASUALTY DELAYED None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,0,2,2,2
14,SelectTag,How would you tag A?,TAG_CASUALTY IMMEDIATE None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,0,3,7,7
15,SelectTag,How would you tag A?,TAG_CASUALTY EXPECTANT None None,casualty-A,22,M,MARINE,PUNCTURE,0.5,LEFT_SIDE,8,8,2,8
16,SelectTag,How would you tag B?,TAG_CASUALTY MINOR None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,3,8,8,2
17,SelectTag,How would you tag B?,TAG_CASUALTY DELAYED None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,8,7,7,2
18,SelectTag,How would you tag B?,TAG_CASUALTY IMMEDIATE None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,2,8,8
19,SelectTag,How would you tag B?,TAG_CASUALTY EXPECTANT None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,8,8,3
20,SelectTag,How would you tag B?,TAG_CASUALTY MINOR None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,3,7,3,2
21,SelectTag,How would you tag B?,TAG_CASUALTY DELAYED None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,6,7,2
22,SelectTag,How would you tag B?,TAG_CASUALTY IMMEDIATE None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,8,8,7
23,SelectTag,How would you tag B?,TAG_CASUALTY EXPECTANT None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,2,2,2
24,SelectTag,How would you tag B?,TAG_CASUALTY MINOR None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,8,3,3,3
25,SelectTag,How would you tag B?,TAG_CASUALTY DELAYED None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,8,8,6,6
26,SelectTag,How would you tag B?,TAG_CASUALTY IMMEDIATE None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,6,3,6
27,SelectTag,How would you tag B?,TAG_CASUALTY EXPECTANT None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,2,2,8
28,SelectTag,How would you tag B?,TAG_CASUALTY MINOR None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,6,2,6,8
29,SelectTag,How would you tag B?,TAG_CASUALTY DELAYED None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,7,4,4,8
30,SelectTag,How would you tag B?,TAG_CASUALTY IMMEDIATE None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,6,3,4
31,SelectTag,How would you tag B?,TAG_CASUALTY EXPECTANT None None,casualty-B,25,M,MARINE,SHRAPNEL,0.25,LEFT_SIDE,2,8,7,8
32,SelectTag,How would you tag C?,TAG_CASUALTY MINOR None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,3,2,8,2
33,SelectTag,How would you tag C?,TAG_CASUALTY DELAYED None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,7,2,7,3
34,SelectTag,How would you tag C?,TAG_CASUALTY IMMEDIATE None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,2,2,7
35,SelectTag,How would you tag C?,TAG_CASUALTY EXPECTANT None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,2,8,8,8
36,SelectTag,How would you tag C?,TAG_CASUALTY MINOR None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,2,2,8,2
37,SelectTag,How would you tag C?,TAG_CASUALTY DELAYED None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,7,6,7,3
38,SelectTag,How would you tag C?,TAG_CASUALTY IMMEDIATE None None,casualty-C,36,M,MARINE,SHRAPNEL,0.25,LEFT_FOREARM,8,2,6,7
