CaseNumber,Background,PatientTreated,Scenario,Risk aversion,Mission,Treatment 1,Treatment 2,Treatment 3,Treatment 4,Treatment 5,Treatment 6,"if Casualty A then treatment 1, treatment 2, treatment 3","if Casualty B then treatment 1, treatment 2, treatment 3","if Casualty C then treatment 1, treatment 2, treatment 3","if Casualty D then treatment 4, treatment 5, treatment 6","if Casualty E then treatment 4, treatment 5, treatment 6","if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6",if safe area then treatment 1 survival rate is high,if safe then exclude the highest,if danger then exclude the lowest,if low risk then favor higher,if high risk then favor lower,M Risk aversion,M Mission,Average difference,new Decision,Decision,Labels,Decision Supported by Label
0,0,0,0,9,6,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,8,7,1.4142135623730951,0,0,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
1,0,0,1,9,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,8,7,1.4142135623730951,1,1,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
2,0,1,0,9,6,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,8,7,1.4142135623730951,0,0,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
3,0,1,1,9,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,8,7,1.4142135623730951,1,1,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
4,0,2,0,9,6,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,8,7,1.4142135623730951,0,0,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
5,0,2,1,9,6,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,8,7,1.4142135623730951,1,1,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
6,0,3,0,9,6,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,8,7,1.4142135623730951,3,3,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
7,0,3,1,9,6,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,8,7,1.4142135623730951,4,4,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
8,0,4,0,9,6,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,8,7,1.4142135623730951,3,3,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
9,0,4,1,9,6,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,8,7,1.4142135623730951,4,4,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
10,0,5,0,9,6,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,8,7,1.4142135623730951,1,1,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
11,0,5,1,9,6,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,8,7,1.4142135623730951,3,3,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
12,1,0,0,8,7,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,9,6,1.4142135623730951,0,0,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
13,1,0,1,8,7,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,6,1.4142135623730951,1,1,"['if Casualty A then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
14,1,1,0,8,7,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,9,6,1.4142135623730951,0,0,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
15,1,1,1,8,7,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,9,6,1.4142135623730951,1,1,"['if Casualty B then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
16,1,2,0,8,7,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,9,6,1.4142135623730951,0,0,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
17,1,2,1,8,7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,9,6,1.4142135623730951,1,1,"['if Casualty C then treatment 1, treatment 2, treatment 3', 'if danger then exclude the lowest', 'if low risk then favor higher']",2
18,1,3,0,8,7,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,9,6,1.4142135623730951,3,3,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
19,1,3,1,8,7,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,9,6,1.4142135623730951,4,4,"['if Casualty D then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
20,1,4,0,8,7,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,9,6,1.4142135623730951,3,3,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
21,1,4,1,8,7,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,9,6,1.4142135623730951,4,4,"['if Casualty E then treatment 4, treatment 5, treatment 6', 'if danger then exclude the lowest', 'if low risk then favor higher']",5
22,1,5,0,8,7,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,9,6,1.4142135623730951,1,1,"['if Casualty F then treatment 2, treatment 3, treatment 4, treatment 5, treatment 6', 'if safe area then treatment 1 survival rate is high', 'if safe then exclude the highest', 'if low risk then favor higher']",0
