index,unvisited_count,injured_count,others_tagged_or_uninjured,aid_available,environment_type,questioning,assessing,treating,tagging,leaving,All Predictors.moral_desert(0.6)-maximization(0.2).time,All Predictors.moral_desert(0.6)-maximization(0.2).resources,All Predictors.moral_desert(0.6)-maximization(0.2).risk_reward_ratio,All Predictors.moral_desert(0.6)-maximization(0.2).system,Take-The-Best Priority,Exhaustive Priority,Tallying Priority,Satisfactory Priority,One-Bounce Priority,SEVERITY,SUPPLIES_REMAINING,AVERAGE_TIME_USED,DAMAGE_PER_SECOND,MEDSIM_P_DEATH,MEDSIM_P_DEATH_ONE_MIN_LATER,SEVERITY_CHANGE,SUPPLIES_USED,SEVEREST_SEVERITY,SEVEREST_SEVERITY_CHANGE,NONDETERMINISM.outcome_0.PROBABILITY,NONDETERMINISM.outcome_0.SEVERITY,NONDETERMINISM.outcome_0.AVERAGE_TIME_USED,NONDETERMINISM.outcome_0.JUSTIFICATION.severity,NONDETERMINISM.outcome_0.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_0.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_0.MORBIDITY.HIGHEST_P_DEATH,WEIGHTED_RESOURCE_SCORE,SMOL_MEDICAL_SOUNDNESS,INFORMATION_GAINED,action,moraldesert,SMOL_MEDICAL_SOUNDNESS.stdev,MEDSIM_P_DEATH.stdev,MEDSIM_P_DEATH_ONE_MIN_LATER.stdev,HRA Strategy.time-system.satisfactory,pInternalBleeding.stdev,HRA Strategy.resources-risk_reward_ratio.tallying,HRA Strategy.time-resources-risk_reward_ratio.one-bounce,HRA Strategy.resources-system.one-bounce,HRA Strategy.time-system.one-bounce,pDeath.stdev,HRA Strategy.time-resources.tallying,entropyDeath.stdev,HRA Strategy.risk_reward_ratio-system.tallying,HRA Strategy.resources-system.tallying,pExternalBleeding.stdev,HRA Strategy.time-risk_reward_ratio-system.satisfactory,conscious,pBrainInjury.stdev,mental_status,HRA Strategy.time-resources.one-bounce,HRA Strategy.resources-system.exhaustive,HRA Strategy.resources-risk_reward_ratio-system.satisfactory,HRA Strategy.time-risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio-system.one-bounce,HRA Strategy.time-resources-system.exhaustive,HRA Strategy.time-resources-system.one-bounce,pExternalBleeding,HRA Strategy.time-resources-risk_reward_ratio.exhaustive,HRA Strategy.time-system.tallying,pDeath,HRA Strategy.time-resources-risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio.exhaustive,HRA Strategy.time-resources-risk_reward_ratio-system.take-the-best,HRA Strategy.resources-risk_reward_ratio.one-bounce,HRA Strategy.resources-system.take-the-best,HRA Strategy.time-resources-risk_reward_ratio.tallying,HRA Strategy.time-risk_reward_ratio-system.take-the-best,HRA Strategy.risk_reward_ratio-system.one-bounce,pAirwayBlocked.stdev,HRA Strategy.time-risk_reward_ratio-system.exhaustive,HRA Strategy.time-resources.take-the-best,HRA Strategy.time-resources-risk_reward_ratio-system.exhaustive,ACTION_TARGET_SEVERITY,HRA Strategy.resources-risk_reward_ratio.take-the-best,HRA Strategy.time-risk_reward_ratio.satisfactory,HRA Strategy.risk_reward_ratio-system.exhaustive,relationship,HRA Strategy.time-risk_reward_ratio.tallying,HRA Strategy.time-resources-risk_reward_ratio-system.one-bounce,HRA Strategy.time-resources-risk_reward_ratio.satisfactory,tagged,HRA Strategy.time-resources-system.satisfactory,HRA Strategy.risk_reward_ratio-system.satisfactory,rank,HRA Strategy.time-resources.satisfactory,entropy,intent,HRA Strategy.resources-risk_reward_ratio.satisfactory,pPain,pAirwayBlocked,pInternalBleeding,HRA Strategy.time-resources-risk_reward_ratio-system.satisfactory,breathing,HRA Strategy.resources-system.satisfactory,entropyDeath,HRA Strategy.resources-risk_reward_ratio-system.take-the-best,HRA Strategy.time-risk_reward_ratio.one-bounce,HRA Strategy.time-resources.exhaustive,directness_of_causality,HRA Strategy.resources-risk_reward_ratio-system.exhaustive,HRA Strategy.time-resources-risk_reward_ratio.take-the-best,HRA Strategy.time-resources-system.tallying,entropy.stdev,HRA Strategy.risk_reward_ratio-system.take-the-best,HRA Strategy.time-system.exhaustive,pPain.stdev,HRA Strategy.time-risk_reward_ratio.take-the-best,HRA Strategy.time-system.take-the-best,pBrainInjury,HRA Strategy.resources-risk_reward_ratio.exhaustive,HRA Strategy.resources-risk_reward_ratio-system.tallying,avpu,ACTION_TARGET_SEVERITY_CHANGE,visited,age,HRA Strategy.resources-risk_reward_ratio-system.one-bounce,hrpmin,HRA Strategy.time-resources-system.take-the-best,category,hint,hint.MoralDesert,treatment,NONDETERMINISM.outcome_2.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_4.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_2.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_2.AVERAGE_TIME_USED,NONDETERMINISM.outcome_4.SEVERITY,NONDETERMINISM.outcome_2.JUSTIFICATION.severity,NONDETERMINISM.outcome_4.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_4.PROBABILITY,NONDETERMINISM.outcome_4.JUSTIFICATION.severity,NONDETERMINISM.outcome_2.PROBABILITY,NONDETERMINISM.outcome_2.SEVERITY,NONDETERMINISM.outcome_4.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_2.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_4.AVERAGE_TIME_USED,NONDETERMINISM.outcome_6.PROBABILITY,NONDETERMINISM.outcome_6.AVERAGE_TIME_USED,NONDETERMINISM.outcome_6.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_6.SEVERITY,NONDETERMINISM.outcome_6.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_6.JUSTIFICATION.severity,NONDETERMINISM.outcome_6.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_8.JUSTIFICATION.severity,NONDETERMINISM.outcome_8.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_8.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_8.PROBABILITY,NONDETERMINISM.outcome_8.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_8.SEVERITY,NONDETERMINISM.outcome_8.AVERAGE_TIME_USED,NONDETERMINISM.outcome_10.AVERAGE_TIME_USED,NONDETERMINISM.outcome_10.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_10.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_10.PROBABILITY,NONDETERMINISM.outcome_10.JUSTIFICATION.severity,NONDETERMINISM.outcome_10.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_10.SEVERITY
1,2,2,2,True,desert,True,False,False,False,False,seconds,few,low,equal,False,False,False,False,False,2362.5,12.0,45.0,52.5,0.5,0.9999,52.5,-0.0,2272.5,50.5,1.0,2362.5,45.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 50.0 % probability asphixia: 0.0 % probability death: 50.0 %,0.5,0.5,5,66,3,"{'name': 'SITREP', 'params': {}}",0.4713516587913047,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,1,1,1,True,desert,False,True,False,False,False,seconds,few,low,equal,False,False,False,True,True,2362.5,12.0,45.0,52.5,0.5,0.9999,52.5,-0.0,2272.5,50.5,1.0,2362.5,45.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 50.0 % probability asphixia: 0.0 % probability death: 50.0 %,0.5,0.5,5,66,2,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}",0.4930146115461627,0.0,0.0,0.0,1,3.9809109653212506e-17,0,0,1,0,1.8499993620548178e-17,0,1.0104677773923807e-16,1,1,3.720053064623282e-17,1,None,2.0412052482795392e-17,UNRESPONSIVE,0,1,1,1,0,0,0,0.9423982429944374,0,1,0.9230691859105778,0,0,0,0,1,0,0,1,2.1578537576461784e-17,0,0,0,2272.5,0,0,1,neutral,0,0,0,False,1,1,None,0,15.887178841356347,no intent,0,0.9648855357303467,0.15405741138905238,0.41198122856892394,1,None,1,0.3912713004723298,1,0,0,direct,1,0,1,6.918910153281841e-16,1,0,0.0,0,0,0.20004001359673673,0,1,None,50.5,False,None,1,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,1,1,1,True,desert,False,False,False,True,False,seconds,few,low,equal,False,False,False,True,True,1575.0,12.0,30.0,52.5,0.09999999999999998,0.9999,52.5,-0.0,1515.0,50.5,1.0,1575.0,30.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 10.0 % probability asphixia: 0.0 % probability death: 9.999999999999998 %,0.09999999999999998,0.09999999999999998,5,90,0,"{'name': 'TAG_CHARACTER', 'params': {'casualty': 'Patient A', 'category': 'EXPECTANT'}}",0.4664399331119507,0.0,0.0,0.0,1,2.0131047204188306e-17,1,1,1,1,5.5455276882693846e-17,1,3.3332742123839476e-17,1,1,0.0,1,True,2.6322419469212065e-17,SHOCK,1,1,1,1,1,1,1,1.0,1,1,0.9083907292415907,1,1,1,1,1,1,1,1,6.395762995980027e-20,1,1,1,1515.0,1,1,1,neutral,1,1,1,False,1,1,None,1,4.677795356994263,no intent,1,0.9205578552864687,0.00037654463215238077,0.09880538624354533,1,FAST,1,0.4418186648158793,1,1,1,direct,1,1,1,4.461396175859167e-16,1,1,5.660610756190266e-17,1,1,0.12383361360390632,1,1,PAIN,50.5,True,None,1,FAST,1,EXPECTANT,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,1,1,1,True,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,6300.0,12.0,120.0,52.5,0.9999,0.9999,52.5,-0.0,6060.0,50.5,1.0,6300.0,120.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 99.99 % probability asphixia: 0.0 % probability death: 99.99 %,0.9999,0.9999,5,48,0,"{'name': 'MOVE_TO_EVAC', 'params': {'evac_id': 'air_evac_military_hospital', 'casualty': 'Patient A'}}",0.0,0.0,0.0,0.0,0,2.0914817851458224e-17,0,0,0,0,5.595601015803485e-17,0,2.0269806481627057e-17,0,0,0.0,0,True,2.293421262982214e-17,SHOCK,0,0,0,0,0,0,0,1.0,0,0,0.9083907292415906,0,0,0,0,0,0,0,0,6.13977913301708e-20,0,0,0,6060.0,0,0,0,neutral,0,0,0,True,0,0,None,0,4.677795356994263,no intent,0,0.9205578552864687,0.0003765446321523808,0.09880538624354533,0,FAST,0,0.4418186648158793,0,0,0,direct,0,0,0,4.258489574174932e-16,0,0,4.993521652938466e-17,0,0,0.12383361360390634,0,0,PAIN,50.5,True,None,0,FAST,0,None,{'MoralDesert': 0.0},0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,1,1,1,True,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,6300.0,12.0,120.0,52.5,0.9999,0.9999,52.5,-0.0,6060.0,50.5,1.0,6300.0,120.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 99.99 % probability asphixia: 0.0 % probability death: 99.99 %,0.9999,0.9999,5,48,0,"{'name': 'MOVE_TO_EVAC', 'params': {'evac_id': 'air_evac_military_hospital', 'casualty': 'Patient A'}}",0.0,0.0,0.0,0.0,0,3.0530012505647324e-17,0,0,0,0,1.61923743560473e-17,0,7.878397525335823e-17,0,0,3.9916495525634396e-17,0,None,1.9890462280817516e-17,None,0,0,0,0,0,0,0,0.9423982429944374,0,0,0.9230691859105778,0,0,0,0,0,0,0,0,2.9209718832739195e-17,0,0,0,6060.0,0,0,0,neutral,0,0,0,False,0,0,None,0,15.887178841356347,no intent,0,0.9648855357303467,0.15405741138905238,0.41198122856892394,0,None,0,0.3912713004723298,0,0,0,direct,0,0,0,8.626912744621879e-16,0,0,0.0,0,0,0.20004001359673673,0,0,None,50.5,False,None,0,None,0,None,{'MoralDesert': 0.0},0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,1,1,1,True,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,6300.0,12.0,120.0,52.5,0.9999,0.9999,52.5,-0.0,6060.0,50.5,1.0,6300.0,120.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 99.99 % probability asphixia: 0.0 % probability death: 99.99 %,0.9999,0.9999,5,48,0,"{'name': 'MOVE_TO_EVAC', 'params': {'evac_id': 'air_evac_military_hospital', 'casualty': 'Patient A'}}",0.0,0.0,0.0,0.0,0,3.015650385836256e-17,0,0,0,0,2.4212275512868294e-17,0,8.14184065232101e-17,0,0,2.4212275512868294e-17,0,None,2.521956820920243e-17,UNRESPONSIVE,0,0,0,0,0,0,0,0.9423982429944374,0,0,0.9230691859105778,0,0,0,0,0,0,0,0,2.761985071613668e-17,0,0,0,6060.0,0,0,0,neutral,0,0,0,False,0,0,None,0,15.887178841356347,no intent,0,0.9648855357303467,0.15405741138905238,0.41198122856892394,0,None,0,0.3912713004723298,0,0,0,direct,0,0,0,9.549869991130891e-16,0,0,0.0,0,0,0.20004001359673673,0,0,None,50.5,False,None,0,None,0,None,{'MoralDesert': 0.0},0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,1,1,1,True,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,1050.0,11.0,20.0,52.5,0.09999999999999998,0.9999,52.5,1.0,1010.0,50.5,1.0,1050.0,20.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 10.0 % probability asphixia: 0.0 % probability death: 9.999999999999998 %,0.09999999999999998,0.09999999999999998,4,90,0,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'unspecified', 'treatment': 'Pain Medications'}}",0.5379602034997686,0.0,0.0,0.0,0,3.015650385836256e-17,0,0,0,0,1.7338770629105723e-17,0,7.032362551787103e-17,0,0,2.9271213773038297e-17,0,None,2.2813829665257428e-17,None,0,0,0,0,0,0,0,0.9423982429944374,0,0,0.9230691859105778,0,0,0,0,0,0,0,0,2.830856323569638e-17,0,0,0,1010.0,0,0,0,neutral,0,0,0,False,0,0,None,0,15.887178841356347,no intent,0,0.9648855357303467,0.15405741138905238,0.41198122856892394,0,None,0,0.3912713004723297,0,0,0,direct,0,0,0,7.127057323487709e-16,0,0,0.0,0,0,0.20004001359673673,0,0,None,50.5,False,None,0,None,0,None,None,None,Pain Medications,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,1,1,1,True,desert,False,False,False,True,False,seconds,few,low,equal,False,False,False,True,True,1575.0,11.0,30.0,52.5,0.09999999999999998,0.9999,52.5,-0.0,1515.0,50.5,1.0,1575.0,30.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 10.0 % probability asphixia: 0.0 % probability death: 9.999999999999998 %,0.09999999999999998,0.09999999999999998,5,90,0,"{'name': 'TAG_CHARACTER', 'params': {'casualty': 'Patient A', 'category': 'MINIMAL'}}",0.429116835363485,0.0,0.0,0.0,1,3.005236131971465e-17,1,1,1,1,0.0,1,4.274009091584341e-17,1,1,0.0,1,True,2.0534408557196678e-17,SHOCK,1,1,1,1,1,1,1,1.0,1,1,0.9077215556582927,1,1,1,1,1,1,1,1,9.114179472564073e-19,1,1,1,1515.0,1,1,1,neutral,1,1,1,False,1,1,None,1,6.349946968794728,no intent,1,0.9265955861137354,0.004772656415246141,0.23737855956387707,1,FAST,1,0.44402958726561226,1,1,1,direct,1,1,1,5.887450218718876e-16,1,1,1.9326502171479226e-17,1,1,0.12589723474533132,1,1,PAIN,50.5,True,None,1,None,1,MINIMAL,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,1,1,1,True,desert,False,True,False,False,False,seconds,few,low,equal,False,False,False,True,True,2362.5,11.0,45.0,52.5,0.5,0.9999,52.5,-0.0,2272.5,50.5,1.0,2362.5,45.0,Damage Per Second 52.5,probability burn death: 0.0 % probability bleed out: 50.0 % probability asphixia: 0.0 % probability death: 50.0 %,0.5,0.5,5,66,2,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}",0.5696728242750179,0.0,0.0,0.0,1,4.209583531594039e-17,0,0,1,0,0.0,0,5.31095208936929e-17,1,1,0.0,1,True,2.1174622620905648e-17,SHOCK,0,1,1,1,0,0,0,1.0,0,1,0.9077215556582927,0,0,0,0,1,0,0,1,7.949251272304527e-19,0,0,0,2272.5,0,0,1,neutral,0,0,0,True,1,1,None,0,6.349946968794728,no intent,0,0.9265955861137354,0.004772656415246141,0.23737855956387707,1,FAST,1,0.44402958726561226,1,0,0,direct,1,0,1,3.356998883401261e-16,1,0,0.0,0,0,0.12589723474533132,0,1,PAIN,50.5,True,None,1,None,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,0,1,1,True,desert,False,False,True,False,False,seconds,few,low,equal,True,True,True,False,False,2082.5,10.0,40.833333333333336,50.5,0.31103059581320447,0.9998999999999999,51.0,1.0,2062.0833333333335,50.5,0.2608695652173913,2167.5,42.5,Damage Per Second 50.5,probability burn death: 0.0 % probability bleed out: 50.0 % probability asphixia: 0.0 % probability death: 50.0 %,0.5,0.5,3,76,0,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient B', 'treatment': 'Pressure bandage', 'location': 'right face'}}",0.40266914591693304,2.5071326821120348,0.042610279781426015,0.0,0,1.0044005411487892e-17,0,0,0,0,1.3543334134010393e-17,0,1.0163818858034711e-16,0,0,8.238088540566731e-18,0,None,4.1190442702833655e-18,None,0,0,0,0,0,0,0,0.07077786484000001,0,0,0.12400059432111528,0,0,0,0,0,0,0,0,2.5785739965381254e-18,0,0,0,20.416666666666668,0,0,0,neutral,0,0,0,False,0,0,None,0,9.666031817309092,no intent,0,0.11968234895556579,0.025773032440000027,0.06876893242,0,None,0,0.5407521542977808,0,0,0,none,0,0,0,8.667733845766652e-16,0,0,1.0044005411487892e-17,0,0,0.03343,0,0,None,0.5,False,None,0,None,0,None,None,None,Pressure bandage,0.09999999999999998,probability burn death: 0.0 % probability bleed out: 75.0 % probability asphixia: 0.0 % probability death: 75.0 %,0.09999999999999998,30.0,2550.0,Damage Per Second 50.5,0.75,0.21739130434782608,Damage Per Second 50.5,0.5217391304347826,1530.0,0.75,probability burn death: 0.0 % probability bleed out: 10.0 % probability asphixia: 0.0 % probability death: 9.999999999999998 %,50.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
