index,unvisited_count,injured_count,others_tagged_or_uninjured,aid_available,environment_type,questioning,assessing,treating,tagging,leaving,All Predictors.moral_desert(0.6)-maximization(0.2).time,All Predictors.moral_desert(0.6)-maximization(0.2).resources,All Predictors.moral_desert(0.6)-maximization(0.2).risk_reward_ratio,All Predictors.moral_desert(0.6)-maximization(0.2).system,Take-The-Best Priority,Exhaustive Priority,Tallying Priority,Satisfactory Priority,One-Bounce Priority,SEVERITY,SUPPLIES_REMAINING,AVERAGE_TIME_USED,DAMAGE_PER_SECOND,MEDSIM_P_DEATH,MEDSIM_P_DEATH_ONE_MIN_LATER,SEVERITY_CHANGE,SUPPLIES_USED,SEVEREST_SEVERITY,SEVEREST_SEVERITY_CHANGE,NONDETERMINISM.outcome_0.PROBABILITY,NONDETERMINISM.outcome_0.SEVERITY,NONDETERMINISM.outcome_0.AVERAGE_TIME_USED,NONDETERMINISM.outcome_0.JUSTIFICATION.severity,NONDETERMINISM.outcome_0.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_0.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_0.MORBIDITY.HIGHEST_P_DEATH,WEIGHTED_RESOURCE_SCORE,SMOL_MEDICAL_SOUNDNESS,INFORMATION_GAINED,action,moraldesert,SMOL_MEDICAL_SOUNDNESS.stdev,MEDSIM_P_DEATH.stdev,MEDSIM_P_DEATH_ONE_MIN_LATER.stdev,HRA Strategy.time-system.satisfactory,pInternalBleeding.stdev,HRA Strategy.resources-risk_reward_ratio.tallying,HRA Strategy.time-resources-risk_reward_ratio.one-bounce,HRA Strategy.resources-system.one-bounce,HRA Strategy.time-system.one-bounce,pDeath.stdev,HRA Strategy.time-resources.tallying,entropyDeath.stdev,HRA Strategy.risk_reward_ratio-system.tallying,HRA Strategy.resources-system.tallying,pExternalBleeding.stdev,HRA Strategy.time-risk_reward_ratio-system.satisfactory,conscious,pBrainInjury.stdev,mental_status,HRA Strategy.time-resources.one-bounce,HRA Strategy.resources-system.exhaustive,HRA Strategy.resources-risk_reward_ratio-system.satisfactory,HRA Strategy.time-risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio-system.one-bounce,HRA Strategy.time-resources-system.exhaustive,HRA Strategy.time-resources-system.one-bounce,pExternalBleeding,HRA Strategy.time-resources-risk_reward_ratio.exhaustive,HRA Strategy.time-system.tallying,pDeath,HRA Strategy.time-resources-risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio.exhaustive,HRA Strategy.time-resources-risk_reward_ratio-system.take-the-best,HRA Strategy.resources-risk_reward_ratio.one-bounce,HRA Strategy.resources-system.take-the-best,HRA Strategy.time-resources-risk_reward_ratio.tallying,HRA Strategy.time-risk_reward_ratio-system.take-the-best,HRA Strategy.risk_reward_ratio-system.one-bounce,pAirwayBlocked.stdev,HRA Strategy.time-risk_reward_ratio-system.exhaustive,HRA Strategy.time-resources.take-the-best,HRA Strategy.time-resources-risk_reward_ratio-system.exhaustive,ACTION_TARGET_SEVERITY,HRA Strategy.resources-risk_reward_ratio.take-the-best,HRA Strategy.time-risk_reward_ratio.satisfactory,HRA Strategy.risk_reward_ratio-system.exhaustive,relationship,HRA Strategy.time-risk_reward_ratio.tallying,HRA Strategy.time-resources-risk_reward_ratio-system.one-bounce,HRA Strategy.time-resources-risk_reward_ratio.satisfactory,tagged,HRA Strategy.time-resources-system.satisfactory,HRA Strategy.risk_reward_ratio-system.satisfactory,rank,HRA Strategy.time-resources.satisfactory,entropy,intent,HRA Strategy.resources-risk_reward_ratio.satisfactory,pPain,pAirwayBlocked,pInternalBleeding,HRA Strategy.time-resources-risk_reward_ratio-system.satisfactory,breathing,HRA Strategy.resources-system.satisfactory,entropyDeath,HRA Strategy.resources-risk_reward_ratio-system.take-the-best,HRA Strategy.time-risk_reward_ratio.one-bounce,HRA Strategy.time-resources.exhaustive,directness_of_causality,HRA Strategy.resources-risk_reward_ratio-system.exhaustive,HRA Strategy.time-resources-risk_reward_ratio.take-the-best,HRA Strategy.time-resources-system.tallying,entropy.stdev,HRA Strategy.risk_reward_ratio-system.take-the-best,HRA Strategy.time-system.exhaustive,pPain.stdev,HRA Strategy.time-risk_reward_ratio.take-the-best,HRA Strategy.time-system.take-the-best,pBrainInjury,HRA Strategy.resources-risk_reward_ratio.exhaustive,HRA Strategy.resources-risk_reward_ratio-system.tallying,avpu,ACTION_TARGET_SEVERITY_CHANGE,visited,age,HRA Strategy.resources-risk_reward_ratio-system.one-bounce,hrpmin,HRA Strategy.time-resources-system.take-the-best,category,hint,treatment,hint.MoralDesert
1,2,0,2,False,desert,True,False,False,False,False,seconds,few,low,equal,False,False,False,False,False,0.0,12.0,45.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,45.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,3,"{'name': 'SITREP', 'params': {}}",0.5045089883821319,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,1,0,1,False,desert,False,True,False,False,False,seconds,few,low,equal,True,True,True,False,False,0.0,12.0,45.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,45.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,2,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}",0.7950889043917954,0.0,0.0,0.0,1,8.16276870247707e-18,0,0,1,0,1.6246672386428093e-17,0,4.186255561005801e-17,1,1,9.126489249410694e-18,1,None,4.549651384261238e-18,UNRESPONSIVE,0,1,1,1,0,1,1,0.07077786484000001,0,1,0.12400059432111527,1,0,0,0,1,0,0,1,3.565324114676825e-18,0,0,1,0.0,0,0,1,neutral,0,1,0,False,1,1,None,0,9.66603181730909,intend minor help,0,0.1196823489555658,0.02577303244000003,0.06876893242,1,None,1,0.5407521542977807,1,0,0,indirect,1,0,1,6.151113470851983e-16,1,0,1.3460341182407927e-17,0,0,0.03343,0,1,None,0.0,False,None,1,None,0,None,None,None,None
3,1,0,1,False,desert,False,False,False,True,False,seconds,few,low,equal,True,True,True,False,False,60.0,12.0,30.0,2.0,0.0,0.0,2.0,-0.0,60.0,2.0,1.0,60.0,30.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,0,"{'name': 'TAG_CHARACTER', 'params': {'casualty': 'Patient B', 'category': 'DELAYED'}}",0.8447092345575221,0.0,0.0,0.0,1,5.75780261266333e-17,1,1,1,1,1.0444099678248412e-17,1,1.0444099678248412e-17,1,1,0.0,1,False,2.686629186265854e-17,UNRESPONSIVE,1,1,1,1,1,1,1,0.0,1,1,0.829139253725335,1,1,1,1,1,1,1,1,2.5732177153459586e-17,1,1,1,60.0,1,1,1,neutral,1,1,1,False,1,1,None,1,7.582281303889831,intend minor help,1,0.0,0.16981647598510383,0.5706259506815795,1,NONE,1,0.6596700192093777,1,1,1,indirect,1,1,1,1.176328098443867e-16,1,1,0.0,1,1,0.18231038200943836,1,1,UNRESPONSIVE,2.0,True,None,1,NONE,1,DELAYED,None,None,None
4,1,0,1,False,desert,False,False,True,False,False,seconds,few,low,equal,True,True,True,False,False,40.0,11.0,20.0,2.0,0.0,0.0,2.0,1.0,40.0,2.0,1.0,40.0,20.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,4,100,0,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient B', 'location': 'unspecified', 'treatment': 'Pain Medications'}}",1.0,0.0,0.0,0.0,0,6.029974973075129e-17,0,0,0,0,1.6082241136735596e-17,0,2.1160459526324512e-17,0,0,0.0,0,False,2.5497224748677287e-17,UNRESPONSIVE,0,0,0,0,0,0,0,0.0,0,0,0.829139253725335,0,0,0,0,0,0,0,0,2.5123835247578068e-17,0,0,0,40.0,0,0,0,neutral,0,0,0,True,0,0,None,0,7.582281303889831,intend minor help,0,0.0,0.16981647598510383,0.5706259506815795,0,NONE,0,0.6596700192093777,0,0,0,indirect,0,0,0,8.464183810529805e-17,0,0,0.0,0,0,0.18231038200943836,0,0,UNRESPONSIVE,2.0,True,None,0,NONE,0,None,{'MoralDesert': 1.0},Pain Medications,1.0
5,1,0,1,False,desert,False,True,False,False,False,seconds,few,low,equal,False,False,False,True,True,0.0,12.0,45.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,45.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,2,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}",0.20490469441250003,0.0,0.0,0.0,1,8.08030018298914e-18,0,0,1,0,1.6969525283909056e-17,0,4.15322954228929e-17,1,1,8.690886576643251e-18,1,None,4.3166776373690785e-18,UNRESPONSIVE,0,1,1,1,0,1,1,0.07077786484000001,0,1,0.12400059432111528,1,0,0,0,1,0,0,1,3.66133663744905e-18,0,0,1,0.0,0,0,1,neutral,0,1,0,False,1,1,None,0,9.66603181730909,intend minor harm,0,0.1196823489555658,0.02577303244000003,0.06876893242,1,None,1,0.5407521542977807,1,0,0,somewhat indirect,1,0,1,6.27540236592439e-16,1,0,1.3636265167095647e-17,0,0,0.03343,0,1,None,0.0,False,None,1,None,0,None,None,None,None
6,1,0,1,False,desert,False,False,False,True,False,seconds,few,low,equal,False,False,False,True,True,60.0,12.0,30.0,2.0,0.0,0.0,2.0,-0.0,60.0,2.0,1.0,60.0,30.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,0,"{'name': 'TAG_CHARACTER', 'params': {'casualty': 'Patient A', 'category': 'IMMEDIATE'}}",0.20554023509933778,0.0,0.0,0.0,1,5.889897456188045e-17,1,1,1,1,2.023610769442933e-17,1,1.7964369905223097e-17,1,1,0.0,1,False,2.3332042773037563e-17,UNRESPONSIVE,1,1,1,1,1,1,1,0.0,1,1,0.829139253725335,1,1,1,1,1,1,1,1,2.5418128440054516e-17,1,1,1,60.0,1,1,1,neutral,1,1,1,False,1,1,None,1,7.582281303889831,intend minor harm,1,0.0,0.16981647598510383,0.5706259506815795,1,NONE,1,0.6596700192093777,1,1,1,somewhat indirect,1,1,1,1.023875060653685e-16,1,1,0.0,1,1,0.18231038200943836,1,1,UNRESPONSIVE,2.0,True,None,1,NONE,1,IMMEDIATE,None,None,None
7,1,0,1,False,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,40.0,11.0,20.0,2.0,0.0,0.0,2.0,1.0,40.0,2.0,1.0,40.0,20.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,4,100,0,"{'name': 'APPLY_TREATMENT', 'params': {'casualty': 'Patient A', 'location': 'unspecified', 'treatment': 'Pain Medications'}}",0.0,0.0,0.0,0.0,0,5.837287901207894e-17,0,0,0,0,1.4304350081904965e-17,0,2.023610769442933e-17,0,0,0.0,0,False,2.5782275103728815e-17,UNRESPONSIVE,0,0,0,0,0,0,0,0.0,0,0,0.829139253725335,0,0,0,0,0,0,0,0,2.8185065227940566e-17,0,0,0,40.0,0,0,0,neutral,0,0,0,True,0,0,None,0,7.582281303889831,intend minor harm,0,0.0,0.16981647598510383,0.5706259506815795,0,NONE,0,0.6596700192093777,0,0,0,somewhat indirect,0,0,0,1.1443480065523972e-16,0,0,0.0,0,0,0.18231038200943836,0,0,UNRESPONSIVE,2.0,True,None,0,NONE,0,None,{'MoralDesert': 0.0},Pain Medications,0.0
8,1,0,1,False,desert,True,False,False,False,False,seconds,few,low,equal,True,True,True,False,False,0.0,12.0,45.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,45.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,3,"{'name': 'SITREP', 'params': {'casualty': 'Patient B'}}",0.5053857147032045,0.0,0.0,0.0,0,7.807509038438913e-18,0,0,0,0,1.6348916447063e-17,0,3.790974630038334e-17,0,0,8.616957479612694e-18,0,None,4.303767906278638e-18,None,0,0,0,0,0,0,0,0.07077786484000001,0,0,0.12400059432111528,0,0,0,0,0,0,0,1,3.608836552387454e-18,0,0,0,0.0,0,0,0,neutral,0,0,0,False,0,0,None,0,9.66603181730909,intend minor help,0,0.1196823489555658,0.02577303244000003,0.06876893242,0,None,0,0.5407521542977807,0,0,0,indirect,0,0,0,6.559526061056202e-16,0,0,1.3532268814455584e-17,0,0,0.03343,0,0,None,0.0,False,None,0,None,0,None,None,None,None
9,1,0,1,False,desert,False,True,False,False,False,seconds,few,low,equal,False,False,False,True,True,0.0,12.0,45.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.0,45.0,Damage Per Second 0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,2,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient A'}}",0.22748502731414477,0.0,0.0,0.0,0,8.004404710612428e-18,0,0,1,0,1.6957683349487498e-17,0,3.885681209422788e-17,0,1,9.104689666701393e-18,0,None,4.9502355094613216e-18,None,0,1,1,0,0,1,1,0.07077786484000001,0,0,0.12400059432111527,1,0,0,0,1,0,0,0,3.537005917611551e-18,0,0,1,0.0,0,0,0,neutral,0,1,0,False,1,0,None,0,9.66603181730909,intend minor harm,0,0.1196823489555658,0.02577303244000003,0.06876893242,1,None,1,0.5407521542977807,1,0,0,somewhat indirect,1,0,1,6.176964612661651e-16,0,0,1.3597747710398998e-17,0,0,0.03343,0,1,None,0.0,False,None,1,None,0,None,None,None,None
10,0,1,1,False,desert,False,True,False,False,False,seconds,few,low,equal,True,True,True,False,False,90.0,12.0,45.0,2.0,0.0,0.0,2.0,-0.0,90.0,2.0,1.0,90.0,45.0,Damage Per Second 2.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5,100,2,"{'name': 'CHECK_ALL_VITALS', 'params': {'casualty': 'Patient B'}}",0.5218240890688259,0.0,0.0,0.0,1,8.17603049270049e-18,0,0,1,0,1.7286775803586613e-17,0,4.6331683210549905e-17,1,1,8.297248993366556e-18,1,None,4.748551397135407e-18,UNRESPONSIVE,0,1,1,1,0,1,1,0.07077786484000001,0,1,0.12400059432111527,1,0,0,0,1,0,0,1,3.607615928061515e-18,0,0,1,0.0,0,0,1,neutral,0,1,0,False,1,1,None,0,9.66603181730909,intend minor help,0,0.1196823489555658,0.02577303244000003,0.06876893242,1,None,1,0.5407521542977807,1,0,0,indirect,1,0,1,6.132583109426754e-16,1,0,1.37359139868043e-17,0,0,0.03343,0,1,None,0.0,False,None,1,None,0,None,None,None,None
