Feature,Variable Value,Output text,Variable,Range
action,,The action taken was,ACTION,
treatment,,The treatment given was,TREATMENT,
ACTION_TARGET_SEVERITY,,The action target severity was,ACTION_TARGET_SEVERITY,
ACTION_TARGET_SEVERITY_CHANGE,,The action target severity change was,ACTION_TARGET_SEVERITY_CHANGE,
age,,The casualty's age was,AGE,
aid_available,TRUE,Aid was available,,
aid_available,FALSE,Aid was not available,,
AVERAGE_TIME_USED,,The average time used was,AVERAGE_TIME_USED,
bprop.perceivedquantityoflivessaved,,The perceived quantity of lives saved was,bprop.perceivedquantityoflivessaved,
bprop.qualityoflife,,The quality of life was,bprop.qualityoflife,
breathing,TRUE,The casualty was breathing,,
breathing,FALSE,The casualty was not breathing,,
category,,The category was,category,
concious,TRUE,The casualty was concious,,
concious,FALSE,The casualty was not concisous,,
context,,The context was,context,
DAMAGE_PER_SECOND,,The damage per second was,DAMAGE_PER_SECOND,
directness_of_causality,DIRECT,The casualty was the direct cause of the harm,,
directness_of_causality,INDIRECT,The casualty was the indirect cause of the harm,,
directness_of_causality,FALSE,The casualty was not the cause of the harm,,
hrpmin,,The casualty's heart rate per minute was, hrpmin,
INFORMATION_GAINED,,The information gained  from the action was,INFORMATION_GAINED,
ingroup bias,,The ingroup bias of the decision maker was,,
injured_count,,The count of injured was,injured_count,
intent,,The casualty did not intend to cause the harm,,
intent,,The casualty intended to cause the harm,MEDSIM_P_DEATH,
MEDSIM_P_DEATH,,The simulated probability of death was,,
MEDSIM_P_DEATH.stdev,,The standard deviation of the simulated probability of death was,MEDSIM_P_DEATH.stdev,
MEDSIM_P_DEATH_ONE_MIN_LATER,,The simulated probability of death one minute later was,MEDSIM_P_DEATH_ONE_MIN_LATER,
MEDSIM_P_DEATH_ONE_MIN_LATER.stdev,,The standard deviation of the simulated probability of death one minute later was,MEDSIM_P_DEATH_ONE_MIN_LATER.stdev,
mental_status,,The mental status of the casualty was,mental_status,
moral judgement,,The moral judgement of the decision maker was,,
One-Bounce Priority,0,The one bounce priority was taken into account,,
One-Bounce Priority,1,The one bounce priority was not taken into account,,
others_tagged_or_uninjured,,The number of others tagged or uninjured was,others_tagged_or_uninjured,
pAirwayBlocked,,The probability that the airway was blocked,pAirwayBlocked,
pAirwayBlocked.stdev,,The standard deviation of the probability that the airway was blocked,pAirwayBlocked.stdev,
