children_under_4,children_under_12,children_under_18,children_under_26,employee_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,probe_id,serial,probe,network_status,expense_type,val1,val2,val3,val4,action,plan,estimate_medical_visits,risk_aversion,choice,kdma_depends_on,persona
2,3,3,3,Bonus,1972,Yes,Owns,62,60,80,20,4,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,10,50,100,30,50,2,50,low,low,RISK,1
1,1,1,1,Salaried,1210,No,Rents,17,12,39,17,2,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,100,50,80,50,1,10,low,low,RISK,1
3,2,4,3,Hourly,2299,Yes,Owns,54,64,80,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1600,600,200,600,2,50,low,low,RISK,1
0,2,1,0,Salaried,358,No,Rents,12,16,31,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,200,0,25,200,1,10,low,low,RISK,1
0,1,0,0,Hourly,4470,Yes,Owns,6,15,48,12,2,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,25,200,0,200,1,10,low,low,RISK,1
1,3,3,3,Salaried,2240,Yes,Rents,35,49,60,10,3,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,60,0,100,100,2,20,low,low,RISK,1
2,1,0,2,Salaried,4377,No,Rents,10,19,27,11,2,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,10,100,0,200,200,1,10,low,low,RISK,1
4,4,4,2,Hourly,4144,No,Owns,44,56,75,11,4,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,200,0,10,100,100,2,50,low,low,RISK,1
1,0,0,0,Salaried,2852,Yes,Rents,1,5,5,18,1,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,20,15,10,20,1,5,low,low,RISK,1
1,0,1,0,Salaried,1855,No,Rents,9,10,10,15,1,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,80,70,50,70,50,1,5,low,low,RISK,1
1,3,1,2,Hourly,176,Yes,Rents,23,43,57,1,3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,200,1600,600,600,2,20,low,low,RISK,1
0,1,1,0,Hourly,170,No,Rents,9,4,8,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1000,4000,1500,6450,6450,1,5,low,low,RISK,1
1,0,2,2,Salaried,1235,Yes,Rents,14,14,34,18,2,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,20,15,10,20,1,10,low,low,RISK,1
0,2,2,1,Salaried,3954,No,Owns,6,12,28,13,2,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,60,70,50,1,10,low,low,RISK,1
3,4,4,4,Bonus,2810,Yes,Owns,58,74,85,4,4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,1000,6450,4000,4000,2,50,low,low,RISK,1
0,1,2,0,Salaried,4592,Yes,Rents,16,17,35,14,2,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,80,100,95,80,1,10,low,low,RISK,1
1,3,3,3,Salaried,3042,Yes,Rents,16,31,55,18,3,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,10,10,15,15,2,20,low,low,RISK,1
4,3,4,3,Bonus,458,No,Rents,46,70,81,5,4,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2000,1500,6450,4000,4000,2,50,low,low,RISK,1
1,0,0,1,Salaried,1125,Yes,Rents,1,1,2,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,6450,4000,1000,6450,1,5,low,low,RISK,1
0,0,0,0,Bonus,2909,Yes,Rents,9,14,30,16,2,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,30,75,50,0,75,1,10,low,low,RISK,1
0,1,1,0,Bonus,3085,No,Rents,3,1,13,11,1,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,200,0,10,200,1,5,low,low,RISK,1
0,0,0,1,Hourly,2954,Yes,Owns,10,7,6,2,1,DEDUCTIBLE,IN-NETWORK,COST IN $,600,0,1600,200,1600,1,5,low,low,RISK,1
0,0,1,1,Hourly,1155,No,Rents,1,10,8,8,1,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,40,15,20,80,1,5,low,low,RISK,1
4,4,2,2,Bonus,2804,No,Owns,48,51,79,18,4,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,10,20,10,15,2,50,low,low,RISK,1
4,3,3,2,Salaried,2852,Yes,Rents,38,64,80,16,4,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,0,30,75,50,2,50,low,low,RISK,1
3,3,2,4,Bonus,4271,No,Rents,43,64,87,8,4,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,20,15,80,40,40,2,50,low,low,RISK,1
3,3,2,2,Bonus,1440,Yes,Owns,46,75,83,8,4,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,80,15,20,40,2,50,low,low,RISK,1
3,4,2,3,Bonus,4199,No,Owns,57,67,81,15,4,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,70,70,70,2,50,low,low,RISK,1
3,1,3,1,Salaried,1366,No,Owns,32,33,56,18,3,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,10,10,20,15,2,20,low,low,RISK,1
0,2,1,0,Salaried,358,No,Rents,12,16,31,14,2,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,95,100,80,90,80,1,10,low,low,RISK,1
1,3,1,2,Hourly,1596,Yes,Owns,27,25,52,2,3,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1600,200,600,600,2,20,low,low,RISK,1
4,3,4,2,Salaried,1366,No,Owns,56,61,80,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,200,600,0,1600,600,2,50,low,low,RISK,1
0,1,1,0,Hourly,170,No,Rents,9,4,8,10,1,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,60,0,120,100,120,1,5,low,low,RISK,1
0,1,2,0,Salaried,912,Yes,Rents,16,14,30,13,2,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,60,50,70,80,50,1,10,low,low,RISK,1
1,0,1,0,Salaried,1855,No,Rents,9,10,10,16,1,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,75,0,50,30,75,1,5,low,low,RISK,1
2,1,1,1,Salaried,153,Yes,Owns,15,33,56,15,3,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,70,70,80,70,2,20,low,low,RISK,1
1,3,1,1,Bonus,4199,No,Owns,33,40,57,16,3,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,75,50,30,50,2,20,low,low,RISK,1
1,3,1,2,Hourly,4519,Yes,Owns,26,50,53,1,3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,200,600,0,600,2,20,low,low,RISK,1
0,1,1,0,Bonus,3085,No,Rents,3,1,13,8,1,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,40,15,20,80,1,5,low,low,RISK,1
2,1,3,1,Hourly,3681,Yes,Owns,17,25,52,12,3,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,200,0,25,40,2,20,low,low,RISK,1
1,0,2,1,Salaried,4038,Yes,Rents,12,16,37,17,2,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,100,80,70,50,1,10,low,low,RISK,1
2,3,1,1,Hourly,4350,No,Rents,19,36,62,8,3,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,20,15,80,40,40,2,20,low,low,RISK,1
3,4,3,2,Salaried,358,No,Rents,50,64,80,18,4,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,10,20,10,15,2,50,low,low,RISK,1
4,3,4,2,Salaried,1366,No,Owns,56,61,80,16,4,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,0,50,75,30,50,2,50,low,low,RISK,1
1,3,2,1,Salaried,358,No,Rents,28,36,56,14,3,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,95,100,80,90,90,2,20,low,low,RISK,1
1,0,1,0,Bonus,2951,No,Owns,4,0,4,17,1,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,100,80,70,50,50,1,5,low,low,RISK,1
4,4,2,3,Salaried,792,No,Owns,50,55,84,10,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,60,100,0,120,100,2,50,low,low,RISK,1
1,3,2,3,Salaried,4555,No,Rents,20,24,60,1,3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,0,1600,200,600,2,20,low,low,RISK,1
0,0,1,0,Salaried,4592,Yes,Rents,9,7,9,18,1,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,10,10,15,20,1,5,low,low,RISK,1
1,3,1,2,Hourly,4519,Yes,Owns,26,50,53,15,3,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,50,70,70,2,20,low,low,RISK,1
0,1,0,0,Bonus,2294,Yes,Owns,4,9,4,15,1,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,80,50,70,50,1,5,low,low,RISK,1
3,3,3,4,Hourly,2183,Yes,Owns,37,63,98,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,0,1600,200,600,2,50,low,low,RISK,1
1,1,0,0,Bonus,3643,No,Rents,16,13,50,8,2,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,20,80,15,80,1,10,low,low,RISK,1
2,4,3,4,Salaried,4555,No,Rents,42,55,84,17,4,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,100,70,70,2,50,low,low,RISK,1
4,4,2,2,Bonus,3643,No,Rents,59,56,100,18,4,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,10,20,15,10,15,2,50,low,low,RISK,1
2,2,2,1,Salaried,2175,No,Owns,35,49,59,11,3,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,0,10,200,100,100,2,20,low,low,RISK,1
1,1,3,1,Hourly,2563,Yes,Rents,35,26,75,2,3,DEDUCTIBLE,IN-NETWORK,COST IN $,600,1600,0,200,600,2,20,low,low,RISK,1
0,1,0,0,Hourly,3337,No,Rents,1,9,4,4,1,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1500,1000,4000,6450,6450,1,5,low,low,RISK,1
0,2,1,0,Hourly,3337,No,Rents,7,19,30,2,2,DEDUCTIBLE,IN-NETWORK,COST IN $,200,1600,0,600,1600,1,10,low,low,RISK,1
2,3,4,3,Hourly,2563,Yes,Rents,59,56,100,8,4,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,15,80,20,40,2,50,low,low,RISK,1
3,2,2,3,Bonus,2909,Yes,Rents,45,60,80,15,4,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,80,70,70,70,2,50,low,low,RISK,1
1,1,0,0,Salaried,3352,Yes,Rents,1,9,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,0,200,600,1600,1,5,low,low,RISK,1
3,1,3,2,Salaried,4038,Yes,Rents,28,36,62,12,3,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,0,25,40,200,40,2,20,low,low,RISK,1
0,1,1,1,Salaried,2240,Yes,Rents,8,10,10,20,1,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,10,50,30,100,100,1,5,low,low,RISK,1
1,1,1,0,Hourly,152,Yes,Owns,15,16,39,11,2,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,200,10,0,100,200,1,10,low,low,RISK,1
2,3,3,4,Bonus,381,No,Owns,41,65,88,10,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,0,100,120,60,100,2,50,low,low,RISK,1
2,4,4,4,Salaried,3042,Yes,Rents,37,60,80,8,4,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,15,20,80,40,40,2,50,low,low,RISK,1
4,3,4,2,Salaried,1366,No,Owns,56,61,80,10,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,100,0,60,120,100,2,50,low,low,RISK,1
4,3,3,4,Salaried,4138,No,Owns,62,55,76,1,4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,1600,0,200,600,2,50,low,low,RISK,1
3,2,1,3,Salaried,4377,No,Rents,24,48,52,13,3,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,60,80,70,60,2,20,low,low,RISK,1
3,3,3,3,Hourly,2879,Yes,Rents,61,60,80,2,4,DEDUCTIBLE,IN-NETWORK,COST IN $,600,0,200,1600,600,2,50,low,low,RISK,1
0,2,2,0,Hourly,170,No,Rents,16,14,34,20,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,10,30,100,50,100,1,10,low,low,RISK,1
1,1,2,0,Hourly,2547,Yes,Owns,14,16,37,11,2,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,200,10,100,0,200,1,10,low,low,RISK,1
