probe_id,probe,network_status,expense_type,children_under_4,children_under_12,children_under_18,children_under_26,employment_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,val1,val2,val3,val4,action,kdma,kdma_value
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,1,2,1,1,Hourly,4470,1,Owns,16,35,73,200,0,40,25,40,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,1,1,0,0,Salaried,792,0,Owns,5,1,9,40,0,25,200,200,RISK,low
12,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,2,2,1,1,Salaried,792,0,Owns,28,24,60,25,40,200,0,40,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,3,3,2,4,Bonus,4271,0,Rents,43,64,87,2000,4000,6450,1500,4000,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,0,0,2,1,Bonus,3179,0,Rents,8,13,26,50,80,100,70,50,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,2,1,1,1,Salaried,153,1,Owns,15,33,56,6450,2000,1500,4000,4000,RISK,low
5,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,3,3,4,2,Salaried,4539,0,Owns,45,75,83,1500,2000,6450,4000,4000,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,1,1,2,3,Hourly,1155,0,Rents,16,49,59,40,20,80,15,40,RISK,low
4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,1,1,1,1,Bonus,2363,1,Rents,29,36,56,1000,4000,6450,1500,4000,RISK,low
18,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,0,0,0,0,Salaried,1214,0,Owns,1,7,6,15,10,20,10,20,RISK,low
8,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,4,3,4,3,Hourly,3252,1,Owns,46,55,84,40,20,80,15,40,RISK,low
2,DEDUCTIBLE,IN-NETWORK,COST IN $,0,1,0,0,Bonus,4199,0,Owns,7,7,6,1600,200,600,0,1600,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,4,4,3,3,Salaried,3352,1,Rents,38,73,76,50,80,60,70,60,RISK,low
13,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,2,3,1,3,Salaried,4259,1,Rents,17,43,57,60,70,80,50,60,RISK,low
17,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,1,2,2,0,Salaried,1012,1,Owns,15,13,50,70,100,50,80,50,RISK,low
