Ground Truth, TAD
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600.0
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
1600, 1600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 600
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 1600.0
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 600
600, 1600.0
