Ground Truth, TAD
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 600
600, 1600
600, 600
600, 600
600, 1600.0
600, 1600.0
600, 600
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600.0
600, 1600
600, 600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 600
600, 1600.0
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 600
600, 1600
600, 600
600, 600
600, 1600.0
600, 1600.0
600, 600
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600.0
600, 1600
600, 600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600.0
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600.0
600, 1600
600, 600
600, 1600.0
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
200, 600
200, 600
200, 600
200, 600
200, 600
200, 200
200, 600
200, 600
200, 600
200, 200
200, 200
200, 600
200, 600.0
200, 600
200, 600
200, 600
200, 600.0
200, 200
200, 600
200, 200
200, 200
200, 600.0
200, 600.0
200, 200
200, 600
200, 200
200, 200
200, 600
200, 200
200, 600
200, 600
200, 600
200, 200
200, 200
200, 600
200, 600
200, 600.0
200, 600
200, 600
200, 600
200, 200
200, 600
200, 600.0
200, 600
200, 200
200, 200
200, 600
200, 600
200, 600
200, 600.0
200, 600
200, 600.0
200, 600
200, 600
200, 200
200, 600
200, 600
200, 600
200, 600
200, 600
200, 200
200, 600
200, 600
200, 200
200, 600
200, 600.0
200, 600
200, 600
200, 600
200, 200
200, 200
200, 200
200, 600
200, 600
200, 600
200, 600
200, 600.0
200, 600
200, 600
200, 200
200, 600
200, 600
200, 600
200, 600.0
200, 200
200, 200
200, 600
200, 200
200, 600
200, 600
200, 600.0
200, 600
200, 200
200, 600.0
200, 200
200, 600
200, 600
200, 600
200, 600
200, 600
0, 600
0, 600
0, 600
0, 600
0, 600
