Ground Truth, TAD
600, 600
600, 200
600, 200
600, 200
600, 1600
600, 1600
600, 1600
600, 1600
600, 0
600, 1600
600, 1600
600, 600
600, 1600.0
600, 200
600, 600
600, 600
600, 1600
600, 0
600, 1600
600, 200
600, 0
600, 1600
600, 1600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 1600
600, 1600
600, 0
600, 1600
600, 600.0
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 1600.0
600, 1600.0
600, 1600
600, 200
600, 1600
600, 600
600, 600
600, 1600.0
600, 1600.0
600, 1600
600, 200
600, 1600
600, 1600
600, 1600
600, 200
600, 200
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 200
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 200
600, 1600
600, 600
600, 200
600, 200
600, 200
600, 1600
600, 1600
600, 1600
600, 1600
600, 0
600, 1600
600, 1600
600, 600
600, 1600.0
600, 200
600, 600
600, 600
600, 1600
600, 0
600, 1600
600, 200
600, 0
600, 1600
600, 1600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 1600
600, 1600
600, 0
600, 1600
600, 600.0
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 1600.0
600, 1600.0
600, 1600
600, 200
600, 1600
600, 600
600, 600
600, 1600.0
600, 1600.0
600, 1600
600, 200
600, 1600
600, 1600
600, 1600
600, 200
600, 200
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 1600
600, 200
600, 1600
600, 200
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 200
600, 1600
200, 600
200, 200
200, 200
200, 200
200, 1600
200, 1600
200, 1600
200, 1600
200, 0
200, 1600
200, 1600
200, 600
200, 1600.0
200, 200
200, 600
200, 600
200, 1600
200, 0
200, 1600
200, 200
200, 0
200, 1600
200, 1600
200, 600
200, 1600
200, 600
200, 1600
200, 1600
200, 600
200, 1600
200, 200
200, 1600
200, 1600
200, 200
200, 1600
200, 1600
200, 200
200, 1600
200, 1600
200, 1600
200, 0
200, 1600
200, 600.0
200, 1600
200, 1600
200, 600
200, 600
200, 1600
200, 600
200, 1600
200, 1600.0
200, 1600.0
200, 1600
200, 200
200, 1600
200, 600
200, 600
200, 1600.0
200, 1600.0
200, 1600
200, 200
200, 1600
200, 1600
200, 1600
200, 200
200, 200
200, 1600
200, 600
200, 600
200, 1600
200, 600
200, 600
200, 600
200, 1600
200, 1600
200, 600
200, 1600
200, 1600
200, 1600
200, 1600
200, 1600
200, 600
200, 600
200, 200
200, 1600
200, 1600
200, 200
200, 1600
200, 1600
200, 200
200, 1600
200, 200
200, 600
200, 1600
200, 1600
200, 600
200, 1600
200, 1600
200, 200
200, 1600
0, 600
0, 200
0, 200
0, 200
0, 1600
0, 1600
0, 1600
0, 1600
0, 0
0, 1600
0, 1600
0, 600
0, 1600.0
0, 200
0, 600
0, 600
0, 1600
0, 0
0, 1600
0, 200
0, 0
0, 1600
0, 1600
0, 600
0, 1600
0, 600
0, 1600
0, 1600
0, 600
0, 1600
0, 200
0, 1600
0, 1600
0, 200
0, 1600
0, 1600
0, 200
0, 1600
0, 1600
0, 1600
0, 0
0, 1600
0, 600.0
0, 1600
0, 1600
0, 600
0, 600
0, 1600
0, 600
0, 1600
0, 1600.0
0, 1600.0
0, 1600
0, 200
0, 1600
0, 600
0, 600
0, 1600.0
0, 1600.0
0, 1600
0, 200
0, 1600
0, 1600
0, 1600
0, 200
0, 200
0, 1600
0, 600
0, 600
0, 1600
0, 600
0, 600
0, 600
0, 1600
0, 1600
0, 600
0, 1600
0, 1600
0, 1600
0, 1600
0, 1600
0, 600
0, 600
0, 200
0, 1600
0, 1600
0, 200
0, 1600
0, 1600
0, 200
0, 1600
0, 200
0, 600
0, 1600
0, 1600
0, 600
0, 1600
0, 1600
0, 200
0, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 200
600, 200
600, 1600
600, 600
600, 1600.0
600, 200
600, 1600
600, 1600
600, 1600
600, 200
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 600
600, 1600
600, 600
600, 200
600, 1600
600, 1600
600, 1600
600, 1600
600, 200
600, 600
600, 1600
600, 200
600, 1600
600, 1600
600, 1600
600, 200
600, 1600
600, 600.0
600, 200
600, 600
600, 600
600, 600
600, 1600
600, 200
600, 1600
600, 1600.0
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 1600.0
600, 1600.0
600, 1600
600, 600
600, 1600
600, 1600
600, 200
600, 600
600, 600
600, 1600
600, 200
600, 1600
600, 1600
600, 600
600, 200
600, 1600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 600
600, 600
600, 200
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 200
600, 200
600, 1600
600, 600
600, 1600.0
600, 200
600, 1600
600, 1600
600, 1600
600, 200
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 600
600, 1600
600, 600
600, 1600
600, 600
600, 200
600, 1600
600, 1600
600, 1600
600, 1600
600, 200
600, 600
600, 1600
600, 200
600, 1600
600, 1600
600, 1600
600, 200
600, 1600
600, 600.0
600, 200
600, 600
600, 600
600, 600
600, 1600
600, 200
600, 1600
600, 1600.0
600, 1600.0
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 1600.0
600, 1600.0
600, 1600
600, 600
600, 1600
600, 1600
600, 200
600, 600
600, 600
600, 1600
600, 200
600, 1600
600, 1600
600, 600
600, 200
600, 1600
600, 600
600, 1600
600, 600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 1600
600, 1600
600, 600
600, 600
600, 1600
600, 600
600, 1600
600, 600
600, 600
600, 200
600, 600
600, 1600
600, 1600
600, 600
600, 1600
200, 600
200, 1600
200, 1600
200, 600
200, 1600
200, 1600
200, 1600
200, 1600
200, 200
200, 200
200, 1600
200, 600
200, 1600.0
200, 200
200, 1600
200, 1600
200, 1600
200, 200
200, 600
200, 1600
200, 600
200, 1600
200, 1600
200, 600
200, 1600
200, 600
200, 1600
200, 600
200, 200
200, 1600
200, 1600
200, 1600
200, 1600
200, 200
200, 600
200, 1600
200, 200
200, 1600
200, 1600
200, 1600
200, 200
200, 1600
200, 600.0
200, 200
200, 600
200, 600
200, 600
200, 1600
200, 200
200, 1600
200, 1600.0
200, 1600.0
200, 1600
200, 1600
200, 1600
200, 1600
200, 600
200, 1600.0
200, 1600.0
200, 1600
200, 600
200, 1600
200, 1600
200, 200
200, 600
200, 600
200, 1600
200, 200
200, 1600
200, 1600
200, 600
200, 200
200, 1600
200, 600
200, 1600
200, 600
200, 1600
200, 1600
200, 1600
200, 1600
200, 1600
200, 1600
200, 600
200, 600
200, 1600
200, 1600
200, 1600
200, 600
200, 600
200, 1600
200, 600
200, 1600
200, 600
200, 600
200, 200
200, 600
200, 1600
200, 1600
200, 600
200, 1600
0, 600
0, 1600
0, 1600
0, 600
0, 1600
0, 1600
0, 1600
0, 1600
0, 200
0, 200
0, 1600
0, 600
0, 1600.0
0, 200
0, 1600
0, 1600
0, 1600
0, 200
0, 600
0, 1600
0, 600
0, 1600
0, 1600
0, 600
