probe_id,probe,network_status,expense_type,children_under_4,children_under_12,children_under_18,children_under_26,employment_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,val1,val2,val3,val4,action_type,kdma,kdma_value
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,1,Bonus,381,0,Owns,2,6,13,0,600,1600,200,1600,RISK,low
2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Salaried,4742,0,Rents,0,6,5,0,200,600,1600,1600,RISK,low
3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,1,Bonus,2810,1,Owns,8,10,10,0,1600,200,600,1600,RISK,low
4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,1,1,Salaried,2240,1,Rents,8,10,10,200,1600,600,0,1600,RISK,low
5,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,1,Bonus,861,0,Owns,8,2,25,200,600,0,1600,1600,RISK,low
6,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,0,0,Salaried,792,0,Owns,5,1,9,600,0,200,1600,1600,RISK,low
7,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,0,0,Salaried,358,0,Rents,5,5,5,1600,0,600,200,1600,RISK,low
8,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,1,0,Bonus,3149,0,Owns,1,3,4,1600,200,0,600,1600,RISK,low
9,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,1,Salaried,1235,1,Rents,7,4,8,200,0,600,1600,1600,RISK,low
10,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,0,1,Salaried,4377,0,Rents,4,9,1,1600,200,600,0,1600,RISK,low
1600,DEDUCTIBLE,OUT-OF-NETWORK,COST IN $,1,0,0,0,Bonus,11,0,Rents,1,2,0,1000,500,5000,2500,5000,CHOICE,low
1601,DEDUCTIBLE,OUT-OF-NETWORK,COST IN $,0,0,0,0,Salaried,0,1,Owns,0,4,5,1000,500,5000,2500,5000,CHOICE,low
1602,DEDUCTIBLE,OUT-OF-NETWORK,COST IN $,0,1,0,0,Bonus,8,0,Rents,0,4,3,5000,500,2500,1000,5000,CHOICE,low
1603,DEDUCTIBLE,OUT-OF-NETWORK,COST IN $,1,1,0,1,Salaried,11,0,Owns,1,4,3,2500,5000,500,1000,5000,CHOICE,low
1604,DEDUCTIBLE,OUT-OF-NETWORK,COST IN $,1,1,1,0,Salaried,0,1,Owns,2,10,2,500,5000,1000,2500,5000,CHOICE,low
401,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,1,Bonus,381,0,Owns,2,6,13,1600,200,0,600,600,RISK,high
402,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Salaried,4742,0,Rents,0,6,5,600,1600,200,0,600,RISK,high
403,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,1,Bonus,2810,1,Owns,8,10,10,1600,0,600,200,600,RISK,high
1800,DEDUCTIBLE,OUT-OF-NETWORK,COST IN $,1,0,0,0,Bonus,11,0,Rents,1,2,0,2500,1000,5000,500,1000,CHOICE,high
1801,DEDUCTIBLE,OUT-OF-NETWORK,COST IN $,0,0,0,0,Salaried,0,1,Owns,0,4,5,2500,5000,500,1000,1000,CHOICE,high
