children_under_4,children_under_12,children_under_18,children_under_26,employee_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,probe,network_status,expense_type,action,predicted_kdma,probe_id,val1,val2,val3,val4,risk_aversion,choice
1,0,2,1,Salaried,4038,Yes,Rents,12,16,37,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,2.3931659127265485e-05,8,80,40,20,15,low,low
4,3,4,4,Bonus,2742,No,Owns,64,75,77,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,2.6561600180135603e-05,14,80,90,95,100,low,low
1,3,1,1,Bonus,4199,No,Owns,33,40,57,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.8308349049018693e-05,1,1600,600,200,0,low,low
2,2,1,1,Bonus,2404,Yes,Owns,11,14,34,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.381433605388207e-05,10,120,100,60,0,low,low
0,1,0,0,Bonus,2804,No,Owns,4,0,4,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,2.8706303148164384e-05,18,20,15,10,10,low,low
2,4,3,3,Bonus,2639,No,Rents,36,60,78,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,4000,2.4258597255147784e-05,4,6450,4000,1500,1000,low,low
0,0,0,1,Salaried,1210,No,Rents,9,1,13,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,6450,2.8171106783046132e-05,4,6450,4000,1500,1000,low,low
0,0,2,1,Bonus,3179,No,Rents,8,13,26,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,2.402298411519101e-05,1,1600,600,200,0,low,low
0,0,0,0,Bonus,4271,No,Rents,3,5,12,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,2.8205228837895697e-05,8,80,40,20,15,low,low
4,3,4,3,Salaried,2175,No,Owns,59,75,83,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.419582966789282e-05,1,1600,600,200,0,low,low
1,1,0,0,Salaried,4671,Yes,Rents,15,12,28,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,2.4897424951972796e-05,18,20,15,10,10,low,low
1,3,1,2,Bonus,2294,Yes,Owns,25,47,55,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,2.841370248110939e-05,11,200,100,10,0,low,low
0,1,0,0,Bonus,2294,Yes,Owns,4,9,4,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,6450,2.8213367502454323e-05,4,6450,4000,1500,1000,low,low
3,4,4,3,Bonus,4493,Yes,Owns,64,60,78,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.4171604816173367e-05,1,1600,600,200,0,low,low
3,4,4,3,Bonus,4493,Yes,Owns,64,60,78,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,60,2.4568496460442827e-05,13,50,60,70,80,low,low
3,1,1,1,Hourly,4826,No,Owns,25,35,73,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,2.8739174308459553e-05,11,200,100,10,0,low,low
1,1,1,1,Hourly,874,No,Owns,17,17,35,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.3982562854126193e-05,10,120,100,60,0,low,low
1,0,0,0,Salaried,153,Yes,Owns,5,15,31,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,2.5036387096531328e-05,18,20,15,10,10,low,low
4,4,2,2,Bonus,3643,No,Rents,59,56,100,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.409761131536889e-05,1,1600,600,200,0,low,low
0,2,0,1,Hourly,4519,Yes,Owns,11,20,28,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,2.411076199283279e-05,1,1600,600,200,0,low,low
3,3,2,2,Hourly,2384,No,Rents,37,67,81,DEDUCTIBLE,IN-NETWORK,COST IN $,600,2.430428481261488e-05,2,1600,600,200,0,low,low
1,2,3,2,Bonus,2810,Yes,Owns,35,49,60,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,2.8995774443917496e-05,18,20,15,10,10,low,low
1,2,0,0,Hourly,4350,No,Rents,7,16,37,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,80,2.4035914962412028e-05,14,80,90,95,100,low,low
2,4,3,4,Salaried,4555,No,Rents,42,55,84,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,2.418329202527023e-05,11,200,100,10,0,low,low
2,3,4,3,Salaried,4592,Yes,Rents,62,68,84,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,70,2.4227902347323435e-05,17,50,70,80,100,low,low
1,0,1,0,Hourly,3561,Yes,Owns,5,2,0,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.755898703411545e-05,15,50,70,70,80,low,low
2,2,1,2,Hourly,2954,Yes,Owns,39,40,57,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,40,2.8251491157607093e-05,8,80,40,20,15,low,low
0,0,2,1,Bonus,3179,No,Rents,8,13,26,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,100,2.44360548772565e-05,20,100,50,30,10,low,low
3,4,4,3,Bonus,4493,Yes,Owns,64,60,78,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.3917423231389057e-05,12,200,40,25,0,low,low
0,0,0,1,Hourly,3289,No,Rents,15,12,39,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,80,2.41623951834239e-05,14,80,90,95,100,low,low
1,1,1,0,Bonus,2793,Yes,Owns,9,9,1,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,100,2.805854192426068e-05,20,100,50,30,10,low,low
0,1,1,0,Salaried,1012,Yes,Owns,8,2,25,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.7067368569649027e-05,17,50,70,80,100,low,low
1,1,0,0,Salaried,4671,Yes,Rents,15,12,28,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.4193000252038553e-05,15,50,70,70,80,low,low
0,0,0,1,Salaried,2062,No,Rents,2,9,4,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,6450,2.823014223083563e-05,5,6450,4000,2000,1500,low,low
4,3,3,3,Hourly,4826,No,Owns,47,63,98,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,100,2.3565284364430344e-05,10,120,100,60,0,low,low
0,0,0,0,Hourly,2879,Yes,Rents,9,4,5,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,2.828399057570165e-05,1,1600,600,200,0,low,low
1,3,1,1,Bonus,4199,No,Owns,33,40,57,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,2.872076529363969e-05,14,80,90,95,100,low,low
1,2,1,1,Salaried,4742,No,Rents,15,38,56,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,2.85606075652872e-05,11,200,100,10,0,low,low
2,4,4,4,Salaried,2240,Yes,Rents,59,74,85,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,2.62251284046573e-05,18,20,15,10,10,low,low
3,3,2,2,Hourly,2384,No,Rents,37,67,81,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,2.4222383278411108e-05,11,200,100,10,0,low,low
0,0,0,0,Hourly,4605,Yes,Rents,4,6,13,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,200,2.828500372638949e-05,12,200,40,25,0,low,low
0,0,1,0,Salaried,1214,No,Owns,6,17,32,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,6450,2.454857629592256e-05,4,6450,4000,1500,1000,low,low
1,2,2,1,Salaried,1625,No,Owns,36,38,56,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.8373794506296325e-05,1,1600,600,200,0,low,low
0,1,0,1,Salaried,4555,No,Rents,2,1,9,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.728480409170987e-05,13,50,60,70,80,low,low
0,0,0,0,Salaried,1625,No,Owns,8,6,5,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.796515331198694e-05,17,50,70,80,100,low,low
4,4,4,3,Salaried,83,Yes,Owns,40,75,77,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,3.29230075351059e-05,14,80,90,95,100,low,low
1,3,3,3,Salaried,3042,Yes,Rents,16,31,55,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,15,2.8075509844242215e-05,18,20,15,10,10,low,low
2,2,3,1,Hourly,2547,Yes,Owns,32,36,62,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,2.9006973614373425e-05,14,80,90,95,100,low,low
0,1,1,0,Salaried,3954,No,Owns,1,1,2,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,2.827197978445683e-05,8,80,40,20,15,low,low
0,0,0,1,Salaried,1210,No,Rents,9,1,13,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,2.8281120461970063e-05,1,1600,600,200,0,low,low
0,2,1,2,Salaried,4555,No,Rents,8,12,35,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,6450,2.4033274738135787e-05,4,6450,4000,1500,1000,low,low
2,0,2,0,Salaried,1366,No,Owns,14,15,31,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,6450,2.3955797350759027e-05,4,6450,4000,1500,1000,low,low
3,4,4,2,Salaried,1012,Yes,Owns,58,56,100,DEDUCTIBLE,IN-NETWORK,COST IN $,600,2.4012152936514032e-05,2,1600,600,200,0,low,low
1,1,1,1,Salaried,1210,No,Rents,17,12,39,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.610091602717717e-05,13,50,60,70,80,low,low
2,4,3,4,Salaried,4555,No,Rents,42,55,84,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.399998800459982e-05,12,200,40,25,0,low,low
1,1,1,2,Bonus,4271,No,Rents,22,36,62,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,2.838576140709001e-05,16,75,50,30,0,low,low
0,2,0,1,Bonus,2294,Yes,Owns,10,19,30,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.4234547542641925e-05,13,50,60,70,80,low,low
3,2,2,3,Bonus,2909,Yes,Rents,45,60,80,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,90,2.742022282693903e-05,14,80,90,95,100,low,low
2,1,3,1,Bonus,1856,Yes,Rents,31,20,55,OUT-OF-POCKET MAXIMUM,TIER 1 NETWORK,MAXIMUM COST,4000,2.851319009436347e-05,4,6450,4000,1500,1000,low,low
0,1,0,0,Hourly,3429,No,Rents,8,8,6,URGENT CARE CENTER,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.724917377699952e-05,17,50,70,80,100,low,low
0,0,0,2,Bonus,381,No,Owns,8,16,39,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.418396017049202e-05,15,50,70,70,80,low,low
0,1,0,0,Bonus,2804,No,Owns,4,0,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.786731566428248e-05,10,120,100,60,0,low,low
1,0,0,1,Salaried,1125,Yes,Rents,1,1,2,MAIL ORDER (UP TO A 90-DAY SUPPLY),,CO-PAY IN $,100,2.8108861163877193e-05,20,100,50,30,10,low,low
1,1,1,1,Bonus,2909,Yes,Rents,23,31,55,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,50,2.838888599980689e-05,16,75,50,30,0,low,low
0,2,2,2,Salaried,2240,Yes,Rents,15,20,35,PRIMARY CARE PHYSICIAN (PCP) ,IN-NETWORK,CO-PAY IN $,80,2.383587202378091e-05,8,80,40,20,15,low,low
4,4,3,4,Salaried,3601,No,Owns,38,60,78,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.398225981237659e-05,12,200,40,25,0,low,low
0,0,0,0,Bonus,1006,No,Owns,5,5,23,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.6851516922445225e-05,13,50,60,70,80,low,low
3,4,2,3,Bonus,4199,No,Owns,57,67,81,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,40,2.4043406393729192e-05,12,200,40,25,0,low,low
2,1,1,1,Salaried,153,Yes,Owns,15,33,56,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,2.8947650991572415e-05,5,6450,4000,2000,1500,low,low
1,1,0,0,Salaried,792,No,Owns,5,1,9,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.8238740465192897e-05,2,1600,600,200,0,low,low
2,1,1,2,Salaried,4138,No,Owns,17,13,27,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.404678266162665e-05,13,50,60,70,80,low,low
1,2,0,2,Salaried,3601,No,Owns,6,14,29,URGENT CARE CENTER,IN-NETWORK,CO-PAY IN $,75,2.3996293274872363e-05,16,75,50,30,0,low,low
1,1,1,1,Bonus,3757,No,Rents,6,13,26,SPECIALIST OFFICE VISIT,IN-NETWORK,CO-PAY IN $,200,2.4295704193045157e-05,12,200,40,25,0,low,low
1,1,1,0,Bonus,3149,No,Owns,1,3,4,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.8025473390562857e-05,10,120,100,60,0,low,low
1,0,1,0,Salaried,1855,No,Rents,9,10,10,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,50,2.7751437219346982e-05,15,50,70,70,80,low,low
1,1,1,2,Hourly,3289,No,Rents,35,24,64,OUT-OF-POCKET MAXIMUM,IN-NETWORK,MAXIMUM COST,4000,2.847962304109239e-05,5,6450,4000,2000,1500,low,low
1,1,1,2,Hourly,3289,No,Rents,35,24,64,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.8572290957207692e-05,1,1600,600,200,0,low,low
1,0,1,0,Bonus,458,No,Rents,4,8,6,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.822511517245344e-05,2,1600,600,200,0,low,low
2,0,1,2,Bonus,2742,No,Owns,17,20,28,TELE-MEDICINE,IN-NETWORK,CO-PAY IN $,120,2.388035707350568e-05,10,120,100,60,0,low,low
1,0,2,1,Hourly,3561,Yes,Owns,12,13,26,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.420261500879592e-05,2,1600,600,200,0,low,low
2,2,1,2,Hourly,2954,Yes,Owns,39,40,57,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,3.3391942906561985e-05,15,50,70,70,80,low,low
1,2,1,1,Hourly,4470,Yes,Owns,16,35,73,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,3.342539333272226e-05,15,50,70,70,80,low,low
1,1,1,2,Hourly,2183,Yes,Owns,16,35,73,OUTPATIENT SERVICES (SURGERY),OUT-OF-NETWORK,PERCENT PLAN PAYS,70,3.361942283558816e-05,15,50,70,70,80,low,low
2,1,2,1,Hourly,152,Yes,Owns,34,38,64,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,600,2.8439623047488412e-05,1,1600,600,200,0,low,low
0,1,0,0,Salaried,4742,No,Rents,5,16,31,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.4090615601622424e-05,2,1600,600,200,0,low,low
1,1,2,1,Salaried,1622,Yes,Rents,8,12,35,RETAIL PHARMACY (UP TO A 30-DAY SUPPLY),GENERIC,CO-PAY IN $,20,2.4588745728336452e-05,18,20,15,10,10,low,low
1,1,0,1,Bonus,861,No,Owns,15,13,50,DEDUCTIBLE,IN-NETWORK,COST IN $,1600,2.4050445025021772e-05,2,1600,600,200,0,low,low
2,1,0,2,Salaried,4377,No,Rents,10,19,27,OUTPATIENT SERVICES (SURGERY),IN-NETWORK,PERCENT PLAN PAYS,80,2.454673350347011e-05,14,80,90,95,100,low,low
2,4,2,3,Hourly,3429,No,Rents,58,70,81,SPECIALIST OFFICE VISIT,OUT-OF-NETWORK,PERCENT PLAN PAYS,60,2.438158022838761e-05,13,50,60,70,80,low,low
3,4,2,3,Hourly,4470,Yes,Owns,36,63,98,SPECIALIST OFFICE VISIT,TIER 1 NETWORK,CO-PAY IN $,100,2.4167167727745864e-05,11,200,100,10,0,low,low
