probe_id,probe,network_status,expense_type,children_under_4,children_under_12,children_under_18,children_under_26,employment_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,val1,val2,val3,val4,action_type,kdma,kdma_value
1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,1,Bonus,381,0,Owns,2,6,13,0,600,1600,200,1600,RISK,low
2,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Salaried,4742,0,Rents,0,6,5,0,200,600,1600,1600,RISK,low
3,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,1,Bonus,2810,1,Owns,8,10,10,0,1600,200,600,1600,RISK,low
4,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,1,1,Salaried,2240,1,Rents,8,10,10,200,1600,600,0,1600,RISK,low
5,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,1,Bonus,861,0,Owns,8,2,25,200,600,0,1600,1600,RISK,low
6,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,0,0,Salaried,792,0,Owns,5,1,9,600,0,200,1600,1600,RISK,low
7,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,0,0,Salaried,358,0,Rents,5,5,5,1600,0,600,200,1600,RISK,low
8,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,1,0,Bonus,3149,0,Owns,1,3,4,1600,200,0,600,1600,RISK,low
9,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,1,Salaried,1235,1,Rents,7,4,8,200,0,600,1600,1600,RISK,low
10,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,0,1,Salaried,4377,0,Rents,4,9,1,1600,200,600,0,1600,RISK,low
11,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,1,Bonus,4027,1,Rents,3,4,3,1600,600,0,200,1600,RISK,low
12,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,0,0,Hourly,2665,0,Rents,2,3,4,600,200,0,1600,1600,RISK,low
13,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,1,Hourly,1155,0,Rents,1,10,8,600,1600,0,200,1600,RISK,low
14,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,1,0,Hourly,152,1,Owns,8,6,13,1600,0,200,600,1600,RISK,low
15,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,0,0,Hourly,176,1,Rents,3,8,6,600,0,200,1600,1600,RISK,low
16,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,1,1,0,Bonus,3085,0,Rents,3,1,13,200,600,1600,0,1600,RISK,low
17,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,0,0,Hourly,3735,1,Owns,8,4,5,600,1600,200,0,1600,RISK,low
18,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,0,0,1,Salaried,1125,1,Rents,1,1,2,0,1600,200,600,1600,RISK,low
19,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,0,0,1,0,Salaried,4592,1,Rents,9,7,9,600,1600,0,200,1600,RISK,low
20,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1,1,1,0,Hourly,4144,0,Owns,3,2,0,0,200,600,1600,1600,RISK,low
