index,age,tagged,visited,relationship,rank,conscious,mental_status,breathing,hrpmin,avpu,intent,directness_of_causality,unvisited_count,injured_count,others_tagged_or_uninjured,aid_available,environment_type,questioning,assessing,treating,tagging,leaving,All Predictors.moral_desert(0.6)-maximization(0.2).time,All Predictors.moral_desert(0.6)-maximization(0.2).resources,All Predictors.moral_desert(0.6)-maximization(0.2).risk_reward_ratio,All Predictors.moral_desert(0.6)-maximization(0.2).system,Take-The-Best Priority,Exhaustive Priority,Tallying Priority,Satisfactory Priority,One-Bounce Priority,pDeath,pPain,pBrainInjury,pAirwayBlocked,pInternalBleeding,pExternalBleeding,entropy,entropyDeath,SEVERITY,SUPPLIES_REMAINING,AVERAGE_TIME_USED,DAMAGE_PER_SECOND,MEDSIM_P_DEATH,MEDSIM_P_DEATH_ONE_MIN_LATER,SEVERITY_CHANGE,SUPPLIES_USED,ACTION_TARGET_SEVERITY,ACTION_TARGET_SEVERITY_CHANGE,SEVEREST_SEVERITY,SEVEREST_SEVERITY_CHANGE,NONDETERMINISM.outcome_0.PROBABILITY,NONDETERMINISM.outcome_0.SEVERITY,NONDETERMINISM.outcome_0.AVERAGE_TIME_USED,NONDETERMINISM.outcome_0.JUSTIFICATION.severity,NONDETERMINISM.outcome_0.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_0.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_0.MORBIDITY.HIGHEST_P_DEATH,WEIGHTED_RESOURCE_SCORE,SMOL_MEDICAL_SOUNDNESS,INFORMATION_GAINED,action,moraldesert,SMOL_MEDICAL_SOUNDNESS.stdev,MEDSIM_P_DEATH.stdev,entropy.stdev,entropyDeath.stdev,pDeath.stdev,pPain.stdev,pBrainInjury.stdev,pAirwayBlocked.stdev,pInternalBleeding.stdev,pExternalBleeding.stdev,MEDSIM_P_DEATH_ONE_MIN_LATER.stdev,category,HRA Strategy.time-system.satisfactory,HRA Strategy.time-resources-risk_reward_ratio-system.one-bounce,HRA Strategy.resources-risk_reward_ratio-system.exhaustive,HRA Strategy.time-resources-risk_reward_ratio.satisfactory,HRA Strategy.time-resources-risk_reward_ratio.exhaustive,HRA Strategy.time-resources-risk_reward_ratio.take-the-best,HRA Strategy.resources-risk_reward_ratio.tallying,HRA Strategy.time-resources-system.tallying,HRA Strategy.time-resources-risk_reward_ratio.one-bounce,HRA Strategy.time-system.tallying,HRA Strategy.time-resources-system.one-bounce,HRA Strategy.resources-system.one-bounce,HRA Strategy.risk_reward_ratio-system.take-the-best,HRA Strategy.time-system.one-bounce,HRA Strategy.time-system.exhaustive,HRA Strategy.time-resources.tallying,HRA Strategy.time-resources-system.satisfactory,HRA Strategy.time-resources-risk_reward_ratio-system.tallying,HRA Strategy.risk_reward_ratio-system.satisfactory,HRA Strategy.risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio.exhaustive,HRA Strategy.time-risk_reward_ratio.take-the-best,HRA Strategy.time-resources-risk_reward_ratio-system.take-the-best,HRA Strategy.resources-system.tallying,HRA Strategy.time-system.take-the-best,HRA Strategy.resources-risk_reward_ratio.one-bounce,HRA Strategy.time-resources.satisfactory,HRA Strategy.resources-system.take-the-best,hint.MoralDesert,HRA Strategy.time-resources-risk_reward_ratio.tallying,HRA Strategy.resources-risk_reward_ratio.satisfactory,HRA Strategy.time-risk_reward_ratio-system.take-the-best,HRA Strategy.resources-risk_reward_ratio.exhaustive,HRA Strategy.resources-risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio-system.satisfactory,HRA Strategy.risk_reward_ratio-system.one-bounce,hint,HRA Strategy.time-resources-risk_reward_ratio-system.satisfactory,HRA Strategy.time-risk_reward_ratio-system.exhaustive,treatment,HRA Strategy.resources-system.satisfactory,HRA Strategy.time-resources.take-the-best,HRA Strategy.resources-risk_reward_ratio-system.one-bounce,HRA Strategy.time-resources.one-bounce,HRA Strategy.time-resources-risk_reward_ratio-system.exhaustive,HRA Strategy.resources-system.exhaustive,HRA Strategy.resources-risk_reward_ratio.take-the-best,HRA Strategy.time-risk_reward_ratio.satisfactory,HRA Strategy.resources-risk_reward_ratio-system.satisfactory,HRA Strategy.risk_reward_ratio-system.exhaustive,HRA Strategy.time-risk_reward_ratio-system.tallying,HRA Strategy.time-risk_reward_ratio-system.one-bounce,HRA Strategy.resources-risk_reward_ratio-system.take-the-best,HRA Strategy.time-risk_reward_ratio.one-bounce,HRA Strategy.time-resources.exhaustive,HRA Strategy.time-risk_reward_ratio.tallying,HRA Strategy.time-resources-system.take-the-best,HRA Strategy.time-resources-system.exhaustive,NONDETERMINISM.outcome_4.SEVERITY,NONDETERMINISM.outcome_6.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_4.JUSTIFICATION.severity,NONDETERMINISM.outcome_2.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_6.PROBABILITY,NONDETERMINISM.outcome_6.AVERAGE_TIME_USED,NONDETERMINISM.outcome_2.JUSTIFICATION.severity,NONDETERMINISM.outcome_4.PROBABILITY,NONDETERMINISM.outcome_2.PROBABILITY,NONDETERMINISM.outcome_6.SEVERITY,NONDETERMINISM.outcome_2.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_2.AVERAGE_TIME_USED,NONDETERMINISM.outcome_4.MORBIDITY.HIGHEST_P_DEATH,NONDETERMINISM.outcome_6.JUSTIFICATION.severity,NONDETERMINISM.outcome_4.AVERAGE_TIME_USED,NONDETERMINISM.outcome_4.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_2.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_6.JUSTIFICATION.morbidity,NONDETERMINISM.outcome_2.SEVERITY,NONDETERMINISM.outcome_4.MORBIDITY.MEDSIM_P_DEATH,NONDETERMINISM.outcome_6.MORBIDITY.HIGHEST_P_DEATH,
1.0,None,False,False,neutral,None,None,None,None,None,None,None,None,2.0,2.0,2.0,False,desert,True,False,False,False,False,seconds,few,low,equal,False,False,False,False,False,0.12400059432111527,0.1196823489555658,0.03343,0.02577303244000003,0.06876893242,0.07077786484000001,9.66603181730909,0.5407521542977807,202.5,12.0,45.0,4.5,0.0,0.0,4.5,-0.0,67.5,1.5,67.5,1.5,1.0,202.5,45.0,Damage Per Second 4.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5.0,100.0,3.0,{'name': 'SITREP' 'params': {'casualty': 'Patient C'}},0.5,0.0,0.0,5.266517382804994e-16,2.8237224718034086e-17,1.403792647700753e-17,1.2889418429677968e-17,5.868897049895144e-18,3.680215357542877e-18,9.463312142896723e-18,7.550876391153382e-18,0.0,None,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,None,-1.0,-1.0,None,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
2.0,None,False,True,neutral,None,True,AGONY,NORMAL,None,PAIN,None,None,2.0,2.0,2.0,False,desert,False,False,False,True,False,seconds,few,low,equal,False,False,False,False,False,0.939349308747477,1.0,0.1447339631417831,0.026492028319688773,0.1395449619399942,1.0,7.202047756559405,0.33002252331296705,135.0,12.0,30.0,4.5,0.0,0.0,4.5,-0.0,45.0,1.5,45.0,1.5,1.0,135.0,30.0,Damage Per Second 4.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5.0,100.0,0.0,{'name': 'TAG_CHARACTER' 'params': {'casualty': 'Patient C' 'category': 'MINIMAL'}},0.5,0.0,0.0,8.243991816177092e-16,6.488286801241123e-17,5.593653025834688e-17,0.0,3.656352934714129e-17,4.898984596445489e-18,2.8638258665541126e-17,0.0,0.0,MINIMAL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,None,-1.0,-1.0,None,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
3.0,None,False,False,neutral,None,None,None,None,None,None,None,None,1.0,2.0,2.0,False,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,0.12400059432111527,0.11968234895556581,0.03343,0.025773032440000034,0.06876893242,0.07077786484000001,9.66603181730909,0.5407521542977807,303.75,11.0,90.0,3.0,0.0,0.0,3.375,1.0,33.75,0.375,135.0,1.5,1.0,303.75,90.0,Damage Per Second 3.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,1.0,100.0,0.0,{'name': 'APPLY_TREATMENT' 'params': {'casualty': 'Patient A' 'treatment': 'Tourniquet' 'location': 'left bicep'}},0.5,0.0,0.0,6.713997766802522e-16,0.0,1.573593226594341e-17,6.7716670670051965e-18,4.006172263299091e-18,4.2153287547610764e-18,6.7716670670051965e-18,5.24531075531447e-18,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'MoralDesert': 0.5},0.0,0.0,Tourniquet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
4.0,None,False,False,neutral,None,None,None,None,None,None,None,None,2.0,2.0,2.0,False,desert,True,False,False,False,False,seconds,few,low,equal,True,True,True,False,False,0.12400059432111528,0.1196823489555658,0.03343,0.02577303244000003,0.06876893242,0.07077786484000001,9.66603181730909,0.5407521542977807,202.5,12.0,45.0,4.5,0.0,0.0,4.5,-0.0,67.5,1.5,67.5,1.5,1.0,202.5,45.0,Damage Per Second 4.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5.0,100.0,3.0,{'name': 'SITREP' 'params': {'casualty': 'Patient B'}},0.5,0.0,0.0,5.64835653501057e-16,2.4349412242405405e-17,1.442792401210917e-17,1.2381944765433393e-17,4.521920927170186e-18,3.594550852253082e-18,7.836086635871113e-18,7.237684404858369e-18,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
5.0,None,False,True,neutral,None,True,AGONY,NORMAL,None,PAIN,None,None,2.0,2.0,2.0,False,desert,False,False,False,True,False,seconds,few,low,equal,True,True,True,False,False,0.9393493087474771,1.0,0.1447339631417831,0.026492028319688773,0.1395449619399942,1.0,7.202047756559405,0.33002252331296705,135.0,12.0,30.0,4.5,0.0,0.0,4.5,-0.0,45.0,1.5,45.0,1.5,1.0,135.0,30.0,Damage Per Second 4.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5.0,100.0,0.0,{'name': 'TAG_CHARACTER' 'params': {'casualty': 'Patient B' 'category': 'IMMEDIATE'}},0.5,0.0,0.0,6.984613027123824e-16,7.204078273071459e-17,5.58025503527609e-17,0.0,2.7755575615628914e-17,5.639431289223069e-18,2.4288737130324106e-17,0.0,0.0,IMMEDIATE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,None,1.0,1.0,None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
6.0,None,False,False,neutral,None,None,None,None,None,None,None,None,1.0,2.0,2.0,False,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,0.12400059432111528,0.11968234895556581,0.033429999999999994,0.02577303244000003,0.06876893242,0.07077786484000001,9.66603181730909,0.5407521542977807,689.0625,11.0,175.0,3.75,0.0,0.0,3.9375,1.0,164.0625,0.9375,262.5,1.5,0.35,675.0,200.0,Damage Per Second 3.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,3.0,100.0,0.0,{'name': 'APPLY_TREATMENT' 'params': {'casualty': 'Patient A' 'treatment': 'Hemostatic gauze' 'location': 'left bicep'}},0.5,0.0,0.0,1.0255800994045674e-15,0.0,8.012344526598183e-18,0.0,8.012344526598183e-18,2.0030861316495456e-18,8.012344526598183e-18,8.012344526598183e-18,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'MoralDesert': 0.5},0.0,0.0,Hemostatic gauze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,Damage Per Second 4.5,0.0,0.55,150.0,Damage Per Second 4.5,0.05,0.05,506.25,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,200.0,0.0,Damage Per Second 3.0,150.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,900.0,0.0,0.0,
7.0,None,False,False,neutral,None,None,None,None,None,None,None,None,2.0,2.0,2.0,False,desert,False,False,True,False,False,seconds,few,low,equal,False,False,False,True,True,0.12400059432111528,0.1196823489555658,0.03343,0.02577303244000003,0.06876893242,0.07077786484000001,9.66603181730909,0.5407521542977807,90.0,11.0,20.0,4.5,0.0,0.0,4.5,1.0,30.0,1.5,30.0,1.5,1.0,90.0,20.0,Damage Per Second 4.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,4.0,100.0,0.0,{'name': 'APPLY_TREATMENT' 'params': {'casualty': 'Patient A' 'location': 'unspecified' 'treatment': 'Pain Medications'}},0.5,0.0,0.0,6.841492903875568e-16,2.401795908909325e-17,1.3090372795998156e-17,1.2296020522929744e-17,5.1804178145459235e-18,4.130687998616647e-18,7.764890429230863e-18,9.096747984466437e-18,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'MoralDesert': 0.5},0.0,0.0,Pain Medications,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
8.0,None,False,True,neutral,None,True,AGONY,NORMAL,None,PAIN,None,None,2.0,2.0,2.0,False,desert,False,False,False,True,False,seconds,few,low,equal,False,False,False,False,False,0.9393493087474771,1.0,0.14473396314178308,0.02649202831968877,0.1395449619399942,1.0,7.202047756559406,0.33002252331296705,135.0,12.0,30.0,4.5,0.0,0.0,4.5,-0.0,45.0,1.5,45.0,1.5,1.0,135.0,30.0,Damage Per Second 4.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5.0,100.0,0.0,{'name': 'TAG_CHARACTER' 'params': {'casualty': 'Patient C' 'category': 'DELAYED'}},0.5,0.0,0.0,8.22293433142597e-16,5.745950043620392e-17,5.93439168722175e-17,0.0,3.8545004678559234e-17,4.542572364846073e-18,2.098124302125788e-17,0.0,0.0,DELAYED,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,None,-1.0,-1.0,None,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
9.0,None,True,True,neutral,None,True,AGONY,NORMAL,None,PAIN,None,None,2.0,2.0,2.0,False,desert,False,True,False,False,False,seconds,few,low,equal,False,False,False,False,False,0.9393493087474771,1.0,0.14473396314178305,0.02649202831968877,0.13954496193999416,1.0,7.202047756559405,0.3300225233129671,202.5,12.0,45.0,4.5,0.0,0.0,4.5,-0.0,67.5,1.5,67.5,1.5,1.0,202.5,45.0,Damage Per Second 4.5,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,5.0,100.0,2.0,{'name': 'CHECK_ALL_VITALS' 'params': {'casualty': 'Patient C'}},0.5,0.0,0.0,9.173067274558418e-16,8.599750569898517e-17,6.080941944488117e-17,0.0,4.886873367543068e-17,4.9065389333867974e-18,3.825842074281555e-17,0.0,0.0,None,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,None,-1.0,-1.0,None,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-970.0,0.0,None,0.0,-0.5264705882352941,-140.0,None,-0.6368159203980099,-0.9083333333333333,-950.0,None,-140.0,0.0,None,-140.0,None,0.0,None,-970.0,0.0,0.0,
10.0,None,False,False,neutral,None,None,None,None,None,None,None,None,1.0,2.0,2.0,False,desert,False,False,True,False,False,seconds,few,low,equal,True,True,True,False,False,0.12400059432111527,0.11968234895556579,0.03343,0.02577303244000003,0.06876893242,0.07077786484000001,9.66603181730909,0.5407521542977807,618.75,11.0,166.66666666666666,3.5,0.0,0.0,3.7125000000000004,1.0,118.75,0.7125,250.0,1.5,0.2222222222222222,675.0,200.0,Damage Per Second 3.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,0.0,3.0,100.0,0.0,{'name': 'APPLY_TREATMENT' 'params': {'casualty': 'Patient B' 'treatment': 'Hemostatic gauze' 'location': 'right bicep'}},0.5,0.0,0.0,0.0,0.0,1.8445802327586937e-17,1.433291761649753e-17,5.665583147960493e-18,4.2491873609703695e-18,1.1331166295920986e-17,8.777083671441753e-18,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'MoralDesert': 0.5},0.0,0.0,Hemostatic gauze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,Damage Per Second 4.5,0.0,-0.5264705882352941,-140.0,Damage Per Second 3.0,0.05555555555555555,0.7222222222222222,-950.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,150.0,0.0,None,150.0,probability burn death: 0.0 % probability bleed out: 0.0 % probability asphixia: 0.0 % probability death: 0.0 %,0.0,None,506.25,0.0,0.0,
