children_under_4,children_under_12,children_under_18,children_under_26,employment_type,distance_dm_home_to_employer_hq,travel_location_known,owns_rents,no_of_medical_visits_previous_year,percent_family_members_with_chronic_condition,percent_family_members_that_play_sports,probe_id,serial,probe,network_status,expense_type,val1,val2,val3,val4,action,plan,estimate_medical_visits,risk_aversion,choice,kdma_depends_on,persona
1,0,0,1,Salaried,4377,0,Rents,4,9,1,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Salaried,1919,0,Owns,4,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Salaried,4671,1,Rents,7,1,2,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,0,Bonus,1139,0,Owns,6,6,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,0,Bonus,3085,0,Rents,3,1,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,1,0,Salaried,912,1,Rents,9,3,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,0,1,0,Hourly,3561,1,Owns,5,2,0,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,0,Hourly,4350,0,Rents,2,5,12,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
1,1,0,1,Salaried,3664,0,Owns,1,6,13,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,0,Bonus,1972,1,Owns,9,4,5,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,1,Salaried,1235,1,Rents,7,4,8,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,1,0,0,Bonus,2294,1,Owns,4,9,4,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Salaried,4592,1,Rents,9,7,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,0,1,Hourly,2183,1,Owns,1,5,23,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
0,0,1,0,Salaried,1622,1,Rents,2,1,9,1,1,DEDUCTIBLE,TIER 1 NETWORK,COST IN $,1600,600,200,0,1600,1,5,low,low,RISK,1
