ID,Session ID,Round,Worker Agent ID,Worker Agent Backlog (No. of Tasks),Worker Agent Backlog (No. of Effort Units),The Backlog Queue,Worker Agent Reputation
1,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,1,2,6,1;2;,0.5
3,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,6,2,9,3;4;,0.5
5,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,3,2,6,5;6;,0.5
7,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,5,2,7,7;8;,0.5
9,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,8,2,7,9;10;,0.5
11,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,4,2,3,11;12;,0.5
13,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,7,2,5,13;14;,0.5
15,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,2,2,6,15;16;,0.5
17,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,9,2,6,17;18;,0.5
19,e7e52776-2750-4cde-a5da-093ccb8feaf9,1,10,2,4,19;20;,0.5
21,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,1,0,0,,0.25062656641604
23,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,6,0,0,,0.49874686716792
25,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,3,0,0,,0.25062656641604
27,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,5,5,16,1;2;3;4;20;,0.74937343358396
29,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,8,0,0,,0.25062656641604
31,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,4,0,0,,0.25062656641604
33,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,7,5,13,9;10;11;12;19;,0.74937343358396
35,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,2,0,0,,0.49874686716792
37,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,9,5,16,5;6;7;8;18;,0.74937343358396
39,e7e52776-2750-4cde-a5da-093ccb8feaf9,2,10,5,14,13;14;15;16;17;,0.74937343358396
41,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,1,0,0,,0.25062656641604
43,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,6,0,0,,0.49874686716792
45,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,3,0,0,,0.25062656641604
47,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,5,6,19,20;1;2;3;4;5;,0.749069950468666
49,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,8,0,0,,0.25062656641604
51,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,4,0,0,,0.25062656641604
53,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,7,5,17,6;7;8;9;10;,0.663318619050369
55,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,2,0,0,,0.49874686716792
57,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,9,5,11,11;12;13;14;15;,0.886279188442995
59,e7e52776-2750-4cde-a5da-093ccb8feaf9,3,10,5,13,16;17;18;19;20;,0.886279188442995
61,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,1,0,0,,0.25062656641604
63,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,6,0,0,,0.49874686716792
65,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,3,0,0,,0.25062656641604
67,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,5,2,7,4;5;,0.577706973353933
69,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,8,0,0,,0.25062656641604
71,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,4,0,0,,0.25062656641604
73,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,7,3,11,1;2;3;,0.567750869114659
75,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,2,0,0,,0.49874686716792
77,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,9,8,24,4;5;6;7;8;18;19;20;,0.92515817536204
79,e7e52776-2750-4cde-a5da-093ccb8feaf9,4,10,9,24,9;10;11;12;13;14;15;16;17;,0.92515817536204
81,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,1,0,0,,0.25062656641604
83,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,6,0,0,,0.49874686716792
85,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,3,0,0,,0.25062656641604
87,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,5,0,0,,0.565527992081087
89,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,8,0,0,,0.25062656641604
91,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,4,0,0,,0.25062656641604
93,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,7,0,0,,0.523966062980273
95,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,2,0,0,,0.49874686716792
97,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,9,18,53,18;19;20;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;,0.887606693126739
99,e7e52776-2750-4cde-a5da-093ccb8feaf9,5,10,7,19,16;17;16;17;18;19;20;,0.948408765402781
